id|wkt
10|POLYGON((-118.672470569344 46.0862385117788,-118.672470569344 47.7122595357836,-117.468666364453 47.7122595357836,-117.468666364453 46.0862385117788,-118.672470569344 46.0862385117788))
15|POLYGON((4.17277116006599 13.9848991852967,4.17277116006599 14.8984400005051,5.33174763123332 14.8984400005051,5.33174763123332 13.9848991852967,4.17277116006599 13.9848991852967))
16|POLYGON((-81.1757924155639 -12.7952437313112,-81.1757924155639 -11.9759712620943,-80.4866176139522 -11.9759712620943,-80.4866176139522 -12.7952437313112,-81.1757924155639 -12.7952437313112))
28|POLYGON((-92.4686207974414 16.827455333155,-92.4686207974414 18.1416800801666,-91.0353473776688 18.1416800801666,-91.0353473776688 16.827455333155,-92.4686207974414 16.827455333155))
30|POLYGON((132.145115205324 -63.8678887424712,132.145115205324 -62.9228861243262,133.142101472483 -62.9228861243262,133.142101472483 -63.8678887424712,132.145115205324 -63.8678887424712))
34|POLYGON((-68.3381155788236 -9.03378070012572,-68.3381155788236 -7.95220642980284,-67.6024554849112 -7.95220642980284,-67.6024554849112 -9.03378070012572,-68.3381155788236 -9.03378070012572))
35|POLYGON((59.2241313457639 -13.4712580250838,59.2241313457639 -12.7311511772074,60.2993868426011 -12.7311511772074,60.2993868426011 -13.4712580250838,59.2241313457639 -13.4712580250838))
36|POLYGON((-30.4422769159778 -43.4614005718482,-30.4422769159778 -42.3616974670238,-29.4907198277262 -42.3616974670238,-29.4907198277262 -43.4614005718482,-30.4422769159778 -43.4614005718482))
47|POLYGON((-133.3744532162 -67.2567171851965,-133.3744532162 -65.4520454250914,-131.922547285781 -65.4520454250914,-131.922547285781 -67.2567171851965,-133.3744532162 -67.2567171851965))
52|POLYGON((-100.929899547988 -42.4117510950129,-100.929899547988 -41.2389424538143,-99.6578168502502 -41.2389424538143,-99.6578168502502 -42.4117510950129,-100.929899547988 -42.4117510950129))
57|POLYGON((-45.5556498225127 -2.30633512994022,-45.5556498225127 -0.975402552790994,-44.0265235275191 -0.975402552790994,-44.0265235275191 -2.30633512994022,-45.5556498225127 -2.30633512994022))
69|POLYGON((121.76661215417 -51.590893987643,121.76661215417 -50.4594146559651,123.186495925987 -50.4594146559651,123.186495925987 -51.590893987643,121.76661215417 -51.590893987643))
70|POLYGON((14.119025158952 -0.425843474936147,14.119025158952 0.214411226401705,15.4103955956854 0.214411226401705,15.4103955956854 -0.425843474936147,14.119025158952 -0.425843474936147))
74|POLYGON((109.669901305695 -23.0306375913586,109.669901305695 -21.9728563189778,110.586540419807 -21.9728563189778,110.586540419807 -23.0306375913586,109.669901305695 -23.0306375913586))
76|POLYGON((-116.044197554488 23.3056788313683,-116.044197554488 24.5185378783204,-115.028519057224 24.5185378783204,-115.028519057224 23.3056788313683,-116.044197554488 23.3056788313683))
83|POLYGON((-70.6421748783155 -37.6572505793555,-70.6421748783155 -35.9935127683912,-69.5391981110828 -35.9935127683912,-69.5391981110828 -37.6572505793555,-70.6421748783155 -37.6572505793555))
87|POLYGON((4.45133474092889 38.2537262586007,4.45133474092889 40.0900984556068,5.42748051227296 40.0900984556068,5.42748051227296 38.2537262586007,4.45133474092889 38.2537262586007))
92|POLYGON((43.6000522720141 -25.2015401940441,43.6000522720141 -23.7903440333288,44.6540970661189 -23.7903440333288,44.6540970661189 -25.2015401940441,43.6000522720141 -25.2015401940441))
94|POLYGON((37.7143785893103 -27.1795287379393,37.7143785893103 -26.5946503022285,39.3574969259929 -26.5946503022285,39.3574969259929 -27.1795287379393,37.7143785893103 -27.1795287379393))
120|POLYGON((-32.3492569215639 -29.1581469385558,-32.3492569215639 -28.4016656017771,-31.0978844924996 -28.4016656017771,-31.0978844924996 -29.1581469385558,-32.3492569215639 -29.1581469385558))
124|POLYGON((-167.529767782094 60.397045530451,-167.529767782094 61.8738033330567,-166.685673208655 61.8738033330567,-166.685673208655 60.397045530451,-167.529767782094 60.397045530451))
127|POLYGON((131.449935385094 -11.8005797889171,131.449935385094 -10.8168069551258,132.487080710024 -10.8168069551258,132.487080710024 -11.8005797889171,131.449935385094 -11.8005797889171))
133|POLYGON((-120.75479067045 -32.3708660266181,-120.75479067045 -31.2944239668357,-119.026256732167 -31.2944239668357,-119.026256732167 -32.3708660266181,-120.75479067045 -32.3708660266181))
140|POLYGON((-30.5107531349764 23.4323430886144,-30.5107531349764 24.5653404783927,-29.0089811418502 24.5653404783927,-29.0089811418502 23.4323430886144,-30.5107531349764 23.4323430886144))
147|POLYGON((-150.394842629805 -2.93460434945675,-150.394842629805 -2.10595477488067,-148.61289457206 -2.10595477488067,-148.61289457206 -2.93460434945675,-150.394842629805 -2.93460434945675))
148|POLYGON((-105.64447982494 -26.0501427429149,-105.64447982494 -24.3194304744638,-104.365782950194 -24.3194304744638,-104.365782950194 -26.0501427429149,-105.64447982494 -26.0501427429149))
150|POLYGON((65.3997630706129 36.5753395015398,65.3997630706129 37.8394386812306,66.6383628386786 37.8394386812306,66.6383628386786 36.5753395015398,65.3997630706129 36.5753395015398))
153|POLYGON((-18.8660196594433 -35.1874237334108,-18.8660196594433 -33.8278885352533,-17.5178696228966 -33.8278885352533,-17.5178696228966 -35.1874237334108,-18.8660196594433 -35.1874237334108))
157|POLYGON((132.874215110085 -28.2501533876098,132.874215110085 -26.747153828223,134.102399540605 -26.747153828223,134.102399540605 -28.2501533876098,132.874215110085 -28.2501533876098))
158|POLYGON((-75.376662790802 -0.549486256951211,-75.376662790802 0.778258978607128,-74.170401938653 0.778258978607128,-74.170401938653 -0.549486256951211,-75.376662790802 -0.549486256951211))
161|POLYGON((168.287653884449 4.87121123848127,168.287653884449 6.26487752006456,168.777349980798 6.26487752006456,168.777349980798 4.87121123848127,168.287653884449 4.87121123848127))
164|POLYGON((-88.0314756910691 -41.2706526215383,-88.0314756910691 -40.3337118855038,-87.4398419753421 -40.3337118855038,-87.4398419753421 -41.2706526215383,-88.0314756910691 -41.2706526215383))
168|POLYGON((-95.2916052272057 58.4131993259546,-95.2916052272057 59.1529914589827,-94.8307632661497 59.1529914589827,-94.8307632661497 58.4131993259546,-95.2916052272057 58.4131993259546))
170|POLYGON((-136.544355555459 -36.2005565678633,-136.544355555459 -35.3497317868712,-135.401040276843 -35.3497317868712,-135.401040276843 -36.2005565678633,-136.544355555459 -36.2005565678633))
173|POLYGON((135.255891802166 -60.3704955546197,135.255891802166 -59.1789291240221,137.035649317178 -59.1789291240221,137.035649317178 -60.3704955546197,135.255891802166 -60.3704955546197))
189|POLYGON((-172.315054292988 33.262879902417,-172.315054292988 35.1209363900968,-170.834292247623 35.1209363900968,-170.834292247623 33.262879902417,-172.315054292988 33.262879902417))
190|POLYGON((18.6860444842796 -0.879366564038677,18.6860444842796 0.427610530714941,20.1209473720512 0.427610530714941,20.1209473720512 -0.879366564038677,18.6860444842796 -0.879366564038677))
198|POLYGON((91.183456399757 -65.7131328668408,91.183456399757 -64.7976437512822,92.1878979412991 -64.7976437512822,92.1878979412991 -65.7131328668408,91.183456399757 -65.7131328668408))
200|POLYGON((-164.296972981561 43.0395268410042,-164.296972981561 44.529258188504,-162.951026136134 44.529258188504,-162.951026136134 43.0395268410042,-164.296972981561 43.0395268410042))
205|POLYGON((34.6693487066573 3.75826009602945,34.6693487066573 4.67068020846215,35.9287710002363 4.67068020846215,35.9287710002363 3.75826009602945,34.6693487066573 3.75826009602945))
215|POLYGON((-48.9994763394793 30.8112495460168,-48.9994763394793 31.9126137914182,-47.732696172604 31.9126137914182,-47.732696172604 30.8112495460168,-48.9994763394793 30.8112495460168))
225|POLYGON((-50.0263162988332 -60.7054395936423,-50.0263162988332 -59.4127545388443,-48.6014872218231 -59.4127545388443,-48.6014872218231 -60.7054395936423,-50.0263162988332 -60.7054395936423))
246|POLYGON((129.662889778505 3.50586023974913,129.662889778505 4.5616110663382,131.033747452259 4.5616110663382,131.033747452259 3.50586023974913,129.662889778505 3.50586023974913))
259|POLYGON((87.2204126989499 -54.9255620838959,87.2204126989499 -53.7715496175909,87.9259386723148 -53.7715496175909,87.9259386723148 -54.9255620838959,87.2204126989499 -54.9255620838959))
283|POLYGON((71.3466174809698 -20.1730652809048,71.3466174809698 -18.7476883471381,72.2898637611914 -18.7476883471381,72.2898637611914 -20.1730652809048,71.3466174809698 -20.1730652809048))
285|POLYGON((53.8274481280412 6.74104002203872,53.8274481280412 7.51840934195135,54.9441068420366 7.51840934195135,54.9441068420366 6.74104002203872,53.8274481280412 6.74104002203872))
286|POLYGON((-69.5111547998029 65.2152494332056,-69.5111547998029 66.6445257419457,-68.1999947378046 66.6445257419457,-68.1999947378046 65.2152494332056,-69.5111547998029 65.2152494332056))
287|POLYGON((44.7795243300971 -27.9332261949172,44.7795243300971 -26.4657079532534,46.1085059553651 -26.4657079532534,46.1085059553651 -27.9332261949172,44.7795243300971 -27.9332261949172))
296|POLYGON((12.3418423879798 46.9369757870001,12.3418423879798 48.1325712449177,13.7692946464117 48.1325712449177,13.7692946464117 46.9369757870001,12.3418423879798 46.9369757870001))
305|POLYGON((-152.999982078715 46.0054559211608,-152.999982078715 47.199325043679,-151.850746083216 47.199325043679,-151.850746083216 46.0054559211608,-152.999982078715 46.0054559211608))
307|POLYGON((61.6647360283226 -63.5022240118723,61.6647360283226 -62.0921544293793,62.5555515210603 -62.0921544293793,62.5555515210603 -63.5022240118723,61.6647360283226 -63.5022240118723))
