id|wkt
1|POINT(16.1959983907505 47.00222984429)
2|POINT(16.1981720603888 47.0201819804376)
4|POINT(16.215182 47.163684)
5|POINT(16.219268 47.199598)
7|POINT(16.238807 47.36091)
9|POINT(16.25613715 47.5043295)
10|POINT(16.29117614 47.791124)
11|POINT(16.32462981 48.05988531)
12|POINT(16.333399 48.13167)
16|POINT(16.364877 48.382502)
17|POINT(16.367264 48.400439)
19|POINT(16.380964 48.507928)
20|POINT(16.3901531593868 48.5794810237894)
21|POINT(16.392394 48.597508)
22|POINT(16.2222855379371 47.0007500288631)
26|POINT(16.250054 47.233885)
30|POINT(16.2716871 47.41318577)
31|POINT(16.29351563 47.59261345)
32|POINT(16.31994181 47.80744062)
35|POINT(16.3422089774898 47.9867485607791)
37|POINT(16.364681 48.165971)
38|POINT(16.36922537 48.20174254)
40|POINT(16.387352 48.345134)
41|POINT(16.389753 48.363211)
42|POINT(16.397482 48.416373)
44|POINT(16.421723 48.613863)
45|POINT(16.430977 48.685519)
46|POINT(16.44024 48.75716)
50|POINT(10.25087233 47.25123042)
54|POINT(9.84581178054214 47.4101755628362)
55|POINT(9.82784248888493 47.4134156713262)
56|POINT(9.56440715119243 47.2507251938805)
58|POINT(9.67027385719121 47.1972182253376)
61|POINT(9.643947 47.196998)
62|POINT(9.64383482001722 47.2149509377778)
63|POINT(9.64309201575816 47.3229955555871)
66|POINT(9.68622973188758 47.1772755403072)
67|POINT(9.69669328071177 47.1971594262868)
68|POINT(9.69585654 47.34125085)
69|POINT(9.69517841935158 47.4491573637351)
71|POINT(9.61734674870968 47.2328797448426)
72|POINT(9.61694709956646 47.2688743611798)
74|POINT(10.35506 47.05294)
77|POINT(10.3536992955645 47.264778254266)
78|POINT(9.72168848 47.44923251)
82|POINT(9.75004836780128 47.0712395622291)
95|POINT(9.8824542760849 47.2800869587809)
96|POINT(9.88225034438074 47.3419467033818)
98|POINT(9.85354710370302 47.5046236859635)
110|POINT(9.72182826139033 47.4312586896122)
114|POINT(10.9117318887526 47.3016652201733)
115|POINT(11.4060280741387 47.0084473394594)
116|POINT(9.88080957904458 47.4315717117861)
122|POINT(10.9610286913812 47.049486679025)
