id|wkt
27|POLYGON((-35.2007924844613 105.579168218937,-35.7500419321918 104.92852751857,-36.8608423570907 105.866228648503,-36.3115929093602 106.51686934887,-35.2007924844613 105.579168218937))
29|POLYGON((75.8946426651834 29.5742164515398,75.4522187857224 30.9524320371443,76.5784099730383 31.313953035246,77.0208338524993 29.9357374496415,75.8946426651834 29.5742164515398))
31|POLYGON((30.2881289155713 3.10325342387307,29.0372061207758 2.47446852604849,28.3626430551833 3.816463726945,29.6135658499788 4.44524862476958,30.2881289155713 3.10325342387307))
57|POLYGON((-14.0688685625364 139.265322879279,-15.4044465069118 138.880052867416,-15.6076422319148 139.584451653589,-14.2720642875394 139.969721665452,-14.0688685625364 139.265322879279))
100|POLYGON((8.82155792055839 -176.022086622967,7.30505619120145 -175.783736720029,7.50701345248844 -174.498783245234,9.02351518184538 -174.737133148172,8.82155792055839 -176.022086622967))
107|POLYGON((-3.76361642508414 2.80874210667637,-5.22714595981583 3.24670219824706,-4.87218738031294 4.43286590290285,-3.40865784558126 3.99490581133216,-3.76361642508414 2.80874210667637))
108|POLYGON((22.7567559987422 -86.3449375475263,22.0460522283835 -87.0829278197011,21.1785885151637 -86.2475377679895,21.8892922855224 -85.5095474958148,22.7567559987422 -86.3449375475263))
145|POLYGON((115.031928313654 36.4809528107236,114.190952787644 37.314721171838,114.79989469255 37.9289268225568,115.640870218559 37.0951584614424,115.031928313654 36.4809528107236))
159|POLYGON((-174.555587881074 8.33827078088437,-174.574152187402 6.91007363550794,-176.113237007791 6.93007930640844,-176.094672701463 8.35827645178487,-174.555587881074 8.33827078088437))
185|POLYGON((49.413633801312 -64.4257814630633,49.1520460193692 -65.333147621115,48.3401236857171 -65.0990756750928,48.6017114676599 -64.1917095170411,49.413633801312 -64.4257814630633))
207|POLYGON((36.0274673803336 -49.434690269669,35.7057185397239 -48.0868118320713,37.059193018086 -47.7637271739444,37.3809418586957 -49.1116056115422,36.0274673803336 -49.434690269669))
232|POLYGON((-84.899060959883 -21.4980080611535,-85.0423373038887 -19.9282061954224,-83.822653012454 -19.8168852001218,-83.6793766684483 -21.3866870658529,-84.899060959883 -21.4980080611535))
241|POLYGON((38.8763847632336 -73.7169107339753,37.9938574269174 -74.7157434369458,37.1140380603721 -73.9383713708456,37.9965653966882 -72.9395386678751,38.8763847632336 -73.7169107339753))
254|POLYGON((-9.7075283290149 70.4005776035762,-10.8497969936769 70.4554818398677,-10.7869760002624 71.7624566219101,-9.64470733560041 71.7075523856186,-9.7075283290149 70.4005776035762))
272|POLYGON((-125.952901120917 19.5046787874777,-126.020529947353 20.6067248575327,-124.858106066163 20.6780588652866,-124.790477239727 19.5760127952316,-125.952901120917 19.5046787874777))
275|POLYGON((-36.8188322385292 -73.6257187936214,-36.9819794782738 -72.7459788895181,-36.0680503091729 -72.576491271001,-35.9049030694283 -73.4562311751043,-36.8188322385292 -73.6257187936214))
280|POLYGON((140.170586593391 -35.905497995456,139.995032784084 -34.5183269285125,141.598399472196 -34.3154124239341,141.773953281503 -35.7025834908776,140.170586593391 -35.905497995456))
286|POLYGON((103.04599519933 64.3580908772587,103.012524794513 63.1900897274086,101.992006349843 63.2193338471342,102.025476754659 64.3873349969843,103.04599519933 64.3580908772587))
313|POLYGON((-48.8315548766241 12.0613346362659,-50.0541184429199 13.0315049987872,-49.2905792783701 13.9936815402274,-48.0680157120743 13.0235111777061,-48.8315548766241 12.0613346362659))
