id|wkt
4|POLYGON((-79.9231579372131 54.8454614261576,-79.4695124788899 54.5983051906863,-79.4376884882593 54.4569599084261,-79.7401878428708 53.9223845786337,-79.734377631599 53.8917021222209,-80.0416804563918 53.8180332549597,-80.5097856632811 53.3209153787628,-80.2325947179187 53.9656125376173,-81.1298443911541 53.8149969350114,-80.4392629511063 54.0188453886116,-80.4493945157762 54.0347310346676,-80.2198750577556 54.0339551449276,-79.9231579372131 54.8454614261576))
9|POLYGON((-147.159068822204 -60.4535006810669,-147.039709554371 -60.6603401535342,-146.972888853125 -60.9632499615109,-146.49255351667 -61.5808075405588,-146.568447343377 -61.7951765525294,-146.898313041943 -61.8017478544696,-147.359479383686 -61.3072984268098,-147.724003578948 -61.6759999718959,-147.936113525802 -61.422999051069,-147.851715384318 -60.6014058755789,-147.492187539542 -60.9357842467741,-147.377155672283 -60.9463571529044,-147.159068822204 -60.4535006810669))
13|POLYGON((-157.3593943517 -67.9441112810955,-157.208214688861 -68.0146864938319,-157.266787440036 -68.122674179397,-157.345284433365 -68.1654150338224,-156.576348201644 -67.8890497234198,-157.105487151232 -68.424465966721,-157.234123409576 -69.172747201811,-157.489599268817 -68.3064829439728,-158.146624429341 -68.6413657929415,-158.113168783527 -68.171307819362,-157.613260906135 -67.9026566629336,-157.463889563823 -68.1673313963897,-157.3593943517 -67.9441112810955))
18|POLYGON((147.313785794811 -27.9640960295441,147.582612989657 -28.1227481833547,147.960642683498 -28.4202852898439,148.132024887201 -28.5458222057404,147.693358544083 -28.9230478952595,147.586772570649 -28.8938438431281,147.147866432572 -29.2497264073183,147.21301291704 -28.866895257007,147.010398302727 -29.0425043352293,146.603427639595 -29.1941844720516,146.581706364217 -28.6411849475955,147.148281312557 -28.6057652373858,147.313785794811 -27.9640960295441))
19|POLYGON((52.0900464387656 67.8813945059578,51.8509450851977 67.1861179818282,51.8434480651732 67.0111010592597,51.8278176735986 66.9007469177163,51.800589538918 66.5089053466033,51.7596812754357 66.7634662373406,51.7393584948535 66.7405976612365,51.4832349035427 66.5977861877362,51.5708076134916 66.8356139301983,51.4875442713452 66.8367834473685,51.5294360157607 67.0210637662188,51.7510678352911 67.0469883970766,52.0900464387656 67.8813945059578))
25|POLYGON((172.858976082453 45.4319889084299,172.638133550005 44.7213155301423,173.153783584449 45.0487404659139,173.138243731462 44.7593715244321,173.350585488885 44.4347957743414,172.62905778377 44.6724197482868,172.27107606072 43.7896428116299,172.061832847372 44.1015509004967,171.868957462516 44.331646671575,171.860395896779 44.8853679299465,172.466677258288 44.773619204095,172.462995219441 45.0886665489146,172.858976082453 45.4319889084299))
40|POLYGON((16.5375384709937 3.11302423387607,16.6620632625273 3.69712059411192,16.5480844782388 3.00729884039953,17.0015750646881 3.12183206559367,16.5807012046975 2.96735058854776,16.79350977112 2.55972808855499,16.5018935693487 2.59359493805446,16.3854751031373 2.38888551530861,15.8882157895456 2.36023779612393,15.6397841430879 3.18547529686019,15.7317489523783 3.51827909117489,16.1403386387336 3.33455343859692,16.5375384709937 3.11302423387607))
57|POLYGON((-119.176427444307 -66.7263239353445,-119.099304337826 -66.6155953952543,-119.14824951508 -66.9525330391638,-119.211581043111 -67.0506566101933,-119.126974884521 -67.0092906874163,-118.540113542604 -67.400671955535,-119.029451785951 -67.9677232370564,-119.320512392099 -67.5093668541688,-119.62869742701 -67.4379069160223,-120.081210903805 -67.0312069259599,-119.561687601158 -66.8613535158882,-119.565205803245 -66.575926580208,-119.176427444307 -66.7263239353445))
62|POLYGON((89.2316877897843 1.83828122672808,89.2672931010763 1.79641321736095,89.5524353724744 2.40584270325237,89.6825870301999 1.90336867851503,89.3467453236089 1.64750263221606,89.6579346662318 1.15350953115919,89.2415838201064 0.989271526920522,88.845552132258 1.28135757460838,88.2898914549263 1.44552237529856,88.5017113273726 1.71115926995892,88.8089712032214 2.10894123123095,89.0623535868475 2.03081409196201,89.2316877897843 1.83828122672808))
91|POLYGON((-75.5269381405573 19.5570101741076,-75.6425570964978 19.1348544952701,-75.7273344966192 19.0400433879913,-75.113265970676 19.4029476129028,-75.3821769317292 18.7830361644978,-75.7461679098752 18.2787449099478,-75.8416651599314 18.1028876212631,-75.8339280917884 18.9278489002236,-76.2742031766212 18.3363385436612,-76.4371782980558 18.9934869215564,-76.4746245554985 19.3623723493656,-75.9009517044336 19.53113522499,-75.5269381405573 19.5570101741076))
100|POLYGON((11.217320658074 -34.5955963641144,11.1155490730967 -35.1844777614352,11.4422344152569 -35.2859713178975,11.6956344595774 -35.4774118075151,11.1564216238365 -35.4740747580348,10.992462068653 -35.5842950622557,10.8022658610943 -35.438806473388,10.7266097513775 -35.5001950162861,10.6598070666608 -35.436408024512,10.0548683460777 -35.3618483645908,10.7832188860436 -35.3869322366939,10.6582308577795 -34.5876810402146,11.217320658074 -34.5955963641144))
101|POLYGON((-179.94242904911 23.8028135821824,-179.718274641925 23.9882329497058,-179.056638408096 23.5547108196949,-179.911294668005 23.4213522761999,-179.960363697166 22.7850722832505,-180.21490667654 23.4333218964136,-180.08435523642 23.6248966523266,-180.943759804445 23.8214310545774,-180.718299951078 23.8377384607414,-180.492306216212 23.8187532142198,-180.042320381009 23.7000615975347,-180.078562392098 24.1741816190717,-179.94242904911 23.8028135821824))
103|POLYGON((87.0583721336786 39.8589025069857,86.7854939907383 39.3741561203498,87.6265093902194 39.4250475007928,86.8964481402227 39.3337505209747,86.9158210032573 38.8574660765566,86.6414490295312 38.8792040877807,86.4458394897879 38.4726531420485,86.6361599236463 39.1914029893013,86.5663706086001 39.2021815133518,86.4032563394625 39.2253797959978,86.3734202018195 39.652127660036,86.4094564218567 39.9328648261446,87.0583721336786 39.8589025069857))
109|POLYGON((-74.4876820780872 62.6751918602628,-73.7326160822108 63.0746931319521,-74.4079803333149 62.4967143293982,-73.9863160809025 62.3914557778038,-74.3378644299148 62.4418496325887,-74.4291273592633 62.2835632748183,-74.3776977837513 61.7807535976245,-74.4849348113419 61.8596309753244,-74.8210716020883 62.1758987875944,-74.5595699547332 62.5161596734515,-74.9826792723197 62.7299923465539,-74.7042368687931 63.3893451128623,-74.4876820780872 62.6751918602628))
114|POLYGON((-152.170725777572 5.40906036030188,-152.308998110176 5.20922335577781,-152.349175158538 5.15921103492415,-151.740422053072 5.25756043911729,-151.947071109066 4.69212555420745,-152.221024476027 4.22722961755335,-152.575181927715 4.29869489279539,-153.021964150512 4.43339211561377,-152.576479706484 5.1155336898891,-152.995801381965 5.39438904714653,-152.391040228168 5.23629544397411,-152.367916049426 5.21441262641958,-152.170725777572 5.40906036030188))
119|POLYGON((-15.0082312101272 -56.5738944213139,-14.9819024476815 -56.7089703629357,-14.6182206586979 -56.2671241641535,-14.791592543812 -56.6158803562665,-14.6483034762686 -56.7730917871216,-14.1610949120321 -56.7537021919994,-14.5315297043246 -57.4427962471883,-15.5280096214715 -57.7173031044884,-15.7690403009654 -56.8801768393201,-15.6769437214201 -56.5697540423717,-15.6342117560503 -56.4007855803776,-15.2313819927692 -56.1794695627979,-15.0082312101272 -56.5738944213139))
123|POLYGON((144.997805038794 43.6498881229184,145.650417129678 43.7086792452704,145.426703884761 43.2160087012249,145.356876459661 43.1423981777542,145.33182256085 42.9612411270613,145.038568096253 42.6667261574816,144.879878348468 42.6787019053717,144.617171322695 42.5510976900292,144.829729863221 43.4446689654852,144.882037340078 43.5186534517242,144.671202465276 44.1878301037338,144.873126874453 43.9771212998012,144.997805038794 43.6498881229184))
128|POLYGON((63.671379085905 0.125870070385411,64.0239717377867 0.200452139815891,63.6868246599131 -0.342519080022574,64.4244834813736 -0.365599758845202,63.5025444282717 -0.583177922951994,64.3906607821094 -0.642219409673828,64.3164122594253 -0.809832930070773,63.5914287096091 -0.735293613233198,63.4119128180546 -1.31195636672063,62.9299921496775 -1.1027369425357,63.3219391170302 -0.568225008643837,63.2774286042693 -0.215911915341551,63.671379085905 0.125870070385411))
133|POLYGON((-86.9278561988307 36.3926751937133,-87.2636980281101 35.7150272189229,-87.2797120496386 35.7045308544179,-86.3961414822399 35.5926979852527,-87.269444937278 35.6808365747425,-87.3009419053354 35.3256577799857,-87.3546063368611 35.4714508514894,-87.889099350636 34.9000111852315,-87.8934138341377 35.3532989317342,-87.6299043638388 35.8391555970934,-87.3588665039716 35.7601704193495,-87.4453448645354 36.487213161083,-86.9278561988307 36.3926751937133))
142|POLYGON((49.2767908824437 51.058886057453,49.7226900074249 51.1148642137114,49.9593110755498 50.4541368255292,49.1087681569387 50.5900943901569,49.2488320643011 50.0178757025755,48.8589494758922 50.2501578767118,48.7729368792533 50.5151948434746,48.9948878930473 50.5763810971512,49.0005750770836 50.5806610041892,48.3725891117178 50.9941120813047,48.3943454511102 51.0128181876906,49.0399856891198 50.8836286059996,49.2767908824437 51.058886057453))
