id|wkt
40507|POLYGON((62.8098114535498 -13.602591023347,62.5990836254204 -14.1211331609056,62.9689198628313 -14.3545020064181,63.3449021701559 -14.6856583070031,62.6298663294356 -14.3740684610876,62.7065717498144 -14.8391523746735,62.5094716064943 -14.4245318282036,62.4935786303926 -14.3511361546373,61.9893626617855 -14.6859254978999,61.8451254610052 -14.0956772774152,62.4628524531256 -13.9435361382431,62.4879591053025 -13.9315995012294,62.8098114535498 -13.602591023347))
40516|POLYGON((6.23956026682953 -21.1281900704898,6.24172394518094 -21.2391351401326,6.66668532585688 -20.684793541955,6.54879404954274 -21.5139649907801,6.77684200509561 -21.7205208632194,6.98760411429122 -21.7982809397139,6.21385120172827 -21.9230890653481,6.09584826885798 -21.736178876031,5.37372150062512 -21.670639077138,5.7617598878993 -21.1878946083496,5.9811483041036 -21.083888280866,6.03507457941678 -20.9461102006402,6.23956026682953 -21.1281900704898))
40519|POLYGON((165.606093067152 55.5540315737893,166.287950719605 55.141128696449,166.036073914301 54.855982012092,165.9913554249 54.7209935458229,165.460966276259 55.2117403218315,165.118209798321 54.5729957065977,164.837007020743 55.2660445027444,165.187677384338 55.414198703714,164.923757893646 55.669706897893,164.737361439485 55.8577628923332,165.129193352189 55.9358219838353,165.401012208102 55.5443236474366,165.606093067152 55.5540315737893))
40526|POLYGON((22.8142189316405 15.1517055943076,23.1507373952649 14.417517704931,22.8255787651351 14.189109855811,22.7695368387999 13.5259446681637,22.373375672132 13.7646008458309,22.4328996543696 14.1719736374919,22.3702742956531 14.1557552269897,22.1222006143766 14.0968982764042,22.4926644968101 14.2211065445225,22.1288095407565 14.2303257890408,22.2651139380976 14.2695690849967,21.9409451590145 14.8308011557892,22.8142189316405 15.1517055943076))
40528|POLYGON((115.038864892605 42.400289323365,115.107556381406 42.0485640258036,115.459194103979 42.0784223219322,115.644090432893 41.2651513501735,115.604098635785 41.1265799996146,115.041398522433 41.1604244681581,114.6907322127 40.5783132404998,114.830028768708 41.3138895996262,114.818915118052 41.3855354338839,114.874137812276 41.4273921672423,114.336842372702 41.8594427096143,114.711714318766 41.8541033732139,115.038864892605 42.400289323365))
40529|POLYGON((-33.1859159054662 60.2714039191751,-32.6907805010873 59.9218847597326,-33.3658198541765 59.3900236353678,-33.1079540612951 59.2939269208346,-33.477711230471 59.29659030117,-33.390825360231 58.6263613197499,-33.6904689566226 59.1233652261042,-33.5755972510326 59.3626652673898,-33.8436210298938 59.4961467113436,-34.1993767657788 59.9700473457328,-33.5236470376635 59.9821200248652,-33.5102186025841 59.4201481968034,-33.1859159054662 60.2714039191751))
40531|POLYGON((-133.540436347806 -22.8778919313138,-133.169192013422 -22.2255833209668,-133.281760666671 -22.7620512896218,-132.833104770397 -22.378832158962,-133.291550129964 -22.8826965202671,-132.930009833411 -23.3296845875711,-133.446811532462 -23.7485822570634,-134.057888227092 -23.356680525175,-133.722711364888 -23.0428438914568,-134.345418605229 -22.5463957605196,-133.603525281482 -22.9923448431315,-133.610713594442 -22.5662046798932,-133.540436347806 -22.8778919313138))
40532|POLYGON((20.3846254557696 32.2780226077761,20.1689532872988 31.4456162929444,20.3533784866265 31.4691222713366,20.7087507188923 31.2132674222221,20.2676549575927 31.3222082811628,20.2991849115657 31.2299882577387,20.2863608110531 30.5970700789761,19.9692912913158 30.8630091613399,19.2140881667437 31.2034816151012,19.7916496822253 31.5244464589723,19.5964279023025 31.6257091257785,19.7660741436626 32.0813444875178,20.3846254557696 32.2780226077761))
40540|POLYGON((71.500026162869 -57.2640450766139,72.2741851018733 -56.9975501180205,71.8815057226564 -57.4083705804751,72.3355792728731 -57.8125238390924,71.5645402544196 -57.7506444237422,71.0903750442954 -57.9201413887315,70.7234737317547 -57.7731768800752,71.3849139821876 -57.4679593132018,70.5177155727019 -57.1440498663948,70.9440138895543 -56.7453829846266,71.1238511469147 -56.9011076209903,71.3855327334153 -57.3335529203975,71.500026162869 -57.2640450766139))
40570|POLYGON((158.811560501038 -60.363413472418,159.151141985042 -60.3549507273187,159.405465490853 -60.3218823576843,159.317915688582 -60.7034912022899,159.120104309466 -61.2239193818164,158.872340548731 -61.0095747927457,158.591615862919 -60.8231000365736,158.362934661145 -60.7706736688253,157.892655606837 -60.5711610177935,158.499412422868 -60.561410052146,158.154523916696 -59.9038419912894,158.532430300523 -59.9057605104246,158.811560501038 -60.363413472418))
