id|wkt
2|POLYGON((-42.1553840798755 -15.3830066962395,-41.8265996864695 -15.1236590189401,-41.5611004038727 -16.1047240993437,-42.2832790188646 -15.5952163576188,-42.9077370849877 -15.843116337642,-42.5030742209925 -14.7054033929381,-42.1553840798755 -15.3830066962395))
12|POLYGON((-95.3957361960827 -29.2829591973515,-95.3471943778119 -29.6249732446056,-95.3229848698011 -29.8826408100815,-95.1924255699028 -30.6620018353295,-95.8605553235495 -29.9372830736665,-95.4643254218265 -29.6286871911717,-95.3957361960827 -29.2829591973515))
15|POLYGON((152.549945031138 -35.319479040879,151.836374695681 -35.7819971453064,152.059725915686 -36.4889281270881,150.843312215286 -35.8461636114507,151.619790872033 -35.6945475526333,151.597498971177 -35.6260496788249,152.549945031138 -35.319479040879))
18|POLYGON((-31.1493333289794 40.7275869961172,-31.255285744355 40.186660907687,-31.7011194282607 39.5887000614947,-31.6429954121201 40.3674561391855,-31.9719197363053 41.1368077773022,-31.6940791445028 40.7040906700917,-31.1493333289794 40.7275869961172))
20|POLYGON((-36.1054647965545 19.4337133048655,-36.1391991697107 19.3012920066085,-36.4790181416856 18.6777053017215,-37.3211502176879 18.8841830698181,-36.6396974876801 19.1872110563232,-36.9224458444604 19.3535627801272,-36.1054647965545 19.4337133048655))
21|POLYGON((176.93400990101 56.4588874718714,176.471115680605 55.7942044106195,176.443211460167 55.7547677427307,176.257874026562 55.2440728058728,176.325412566601 55.7845334195531,176.346169562042 56.6581545501314,176.93400990101 56.4588874718714))
27|POLYGON((19.6698543996027 -35.8921773621059,19.9288488180465 -35.7633459942981,19.4569263333666 -36.3941221234171,19.372005982191 -36.7595676446907,18.8098705344564 -36.6024344374028,19.2591293444542 -36.2715543418169,19.6698543996027 -35.8921773621059))
37|POLYGON((35.9910337138769 43.9592127767586,35.976077678607 43.1821481609977,35.3112086406956 43.5173835660497,35.2708676078887 42.901172303532,34.917458161805 43.1790738422122,34.5208642623929 43.5501740025061,35.9910337138769 43.9592127767586))
39|POLYGON((28.9742678908531 -10.2911546336438,29.4519185552283 -10.2099405666532,29.2466398234327 -10.7022066501571,28.5756792489298 -10.8621921948838,28.5151246434284 -10.673388034596,28.0228605164167 -10.0163816416134,28.9742678908531 -10.2911546336438))
40|POLYGON((117.803628974941 -65.824735172649,118.471674931609 -65.5765035506249,118.328593873412 -66.034494739661,117.647875490867 -66.0879834832222,117.622482870005 -66.0691227146756,117.097074452337 -65.8560918561037,117.803628974941 -65.824735172649))
56|POLYGON((-58.7845430097034 -27.2453248069063,-58.844082506664 -28.0563961340436,-58.6325644438166 -28.0954275546854,-58.2683032031369 -28.5376755815377,-58.6346926486263 -28.9784628284594,-59.9314404582187 -28.2606726321649,-58.7845430097034 -27.2453248069063))
60|POLYGON((116.354227607655 42.9511563274943,116.988256904996 42.2540423177942,116.312462399291 42.2135162261494,116.227626979251 42.6518885109152,116.273627210287 42.7512357310032,116.279974586187 42.9297415312211,116.354227607655 42.9511563274943))
67|POLYGON((-159.514467339346 51.8609761043633,-159.456446674584 51.9253056731871,-159.178413264782 51.9934442787431,-159.483398992372 51.5884471410235,-159.526153801579 51.6687502467742,-160.504380318343 51.7408606710364,-159.514467339346 51.8609761043633))
70|POLYGON((22.8569004884507 -67.0378428682629,23.0380804608378 -67.3849730353856,23.1961610555105 -67.6108728624183,22.7167945886831 -67.6022227439923,22.1583592429521 -68.1176667921765,22.7124680152606 -67.539623950099,22.8569004884507 -67.0378428682629))
74|POLYGON((111.512952883665 -67.3720565887761,111.672325945549 -67.3919797960778,111.770711892818 -67.8032913325387,111.713378830354 -68.2075929751765,110.842293151495 -67.5012595897363,110.737729635321 -66.7450686933877,111.512952883665 -67.3720565887761))
79|POLYGON((51.668750090155 -65.7431887333067,52.2158032739386 -65.900325869803,52.1631261073354 -66.9727295439572,51.5743872699202 -66.2910656500315,50.8227489693153 -65.9073700512194,51.0686111154074 -65.8550711116832,51.668750090155 -65.7431887333067))
