id|wkt
6367|POLYGON((167.489413139275 27.4777763710375,167.821365039148 26.9103620731922,167.319113100971 26.7770907092559,167.311303930121 27.1399631145652,167.320425874315 27.3389848008939,166.854152446708 28.098949451526,167.489413139275 27.4777763710375))
6370|POLYGON((178.756447226195 -23.2650580962263,179.589198073997 -23.7082040472003,178.762175980039 -24.752771193167,178.642026604604 -24.0886027602612,178.687516006393 -23.9763863105114,178.476200851119 -23.9044522135298,178.756447226195 -23.2650580962263))
6372|POLYGON((-100.933221957342 16.3564868731595,-101.577606654392 15.8446283115537,-101.415467669772 15.7202031417197,-102.371999859162 15.3023039495003,-101.663662350399 15.8637654837442,-102.066839724964 16.2876828998141,-100.933221957342 16.3564868731595))
6384|POLYGON((-4.15685750094903 -26.360042486204,-4.32333931033839 -27.1893764104021,-5.11219179022606 -27.799727745412,-5.61494062164681 -27.2702498506505,-5.21327535151082 -26.5686033956871,-5.13166559033234 -26.5783857024726,-4.15685750094903 -26.360042486204))
6386|POLYGON((35.2141054620032 -16.5137934256745,35.0888700245491 -17.3010128621649,35.7628675883156 -17.1727174153899,35.2600447640459 -17.4436631839527,34.6856019858578 -17.6933983273674,34.5632481877712 -17.120259591164,35.2141054620032 -16.5137934256745))
6389|POLYGON((152.95296074303 10.8006736157076,153.025091754555 10.5167148951656,153.418781415765 9.89435498681829,152.251294347812 9.04275495813638,151.613580871963 9.65008336455149,152.503427922624 10.0584283457714,152.95296074303 10.8006736157076))
6394|POLYGON((26.0826620356748 -56.7855294962353,26.6667234830638 -56.9841613359198,26.1046326962046 -57.9655411482109,26.1296029186096 -58.3936031183094,25.5148900751351 -58.2062721398932,25.5891010485665 -56.8493909629764,26.0826620356748 -56.7855294962353))
6400|POLYGON((-145.727311689371 4.35989845002769,-145.218646578074 3.76127836303953,-145.586849747579 3.80500000670785,-145.152548442499 3.38734177688199,-145.868918145731 3.9750679614751,-145.967716999799 4.10204176947868,-145.727311689371 4.35989845002769))
6403|POLYGON((6.8592293681741 50.2901299390205,7.0325352441591 49.783989262067,6.02291459683654 49.2719986492828,6.45408438762667 49.835864188341,5.88355685879292 50.6111679230753,6.50918743263727 50.7733553144551,6.8592293681741 50.2901299390205))
6404|POLYGON((52.1278841681428 22.9837635382038,51.4582348344887 22.5578412418586,51.8880867648716 22.2853065975878,51.5586772089389 22.0324132789474,51.058135004355 22.2154080906094,50.8992469081698 23.3769242228898,52.1278841681428 22.9837635382038))
