id|wkt
4|POLYGON((-82.5477895837196 -45.5922371822226,-82.5442963680291 -45.9705723411652,-82.5017335929941 -45.9277267639763,-81.751479207425 -45.8498027031594,-82.1921451945761 -46.1833066535194,-81.7486488109567 -46.4632869445584,-82.1191846041501 -46.4419342843615,-82.4418269633777 -46.2921997486696,-82.2045191866472 -46.5051620593041,-82.4684511816761 -46.298205167394,-82.625375738792 -46.1891855318938,-82.658955528447 -46.9119063031821,-82.8846814158703 -46.499301329925,-82.8780477608419 -46.258459518621,-83.1408157934779 -46.1318063108825,-82.901603491799 -46.0859585449035,-82.8020643335889 -46.0331778891366,-82.7301858299719 -46.0491142559032,-82.9599720360944 -45.8353313801847,-82.7184713813786 -45.9224151886402,-82.5477895837196 -45.5922371822226))
13|POLYGON((154.026445198084 56.4841617356484,154.580242963055 56.9060781209888,154.66786193467 56.8271159842909,154.220820884932 56.3864272703054,154.019820982578 56.3898833673269,154.537377569569 56.0868307941907,154.681356650785 55.9813235947084,154.018357205723 56.3598791086023,154.191625557153 55.6619167671046,153.904031728654 55.5853641317971,153.451988437021 55.7842079546129,153.336945057977 56.0027317771195,153.979254169312 56.3782457256356,153.380935726851 56.2714379217109,153.488600716902 56.4133997888106,153.26338295469 56.602570123173,153.986953683235 56.4086666244875,153.542190603634 57.248807068428,153.760660620719 57.1743536354348,153.903523672558 57.2256089181857,154.026445198084 56.4841617356484))
23|POLYGON((-32.8533649492358 58.6727052068116,-32.7984829661788 58.8338241193506,-32.667316680464 58.594123322725,-32.7134899569936 58.2062373661566,-32.796152940595 58.0588621042438,-32.4003120231577 58.1696070496458,-32.6174424781444 57.9803954492888,-32.838935909517 57.922452081938,-32.4740440866652 57.5088923466089,-32.8944412345457 57.5168034536343,-33.0471358637237 57.9252452473804,-33.0827449413853 57.852137339375,-33.556132250715 57.482977784775,-33.8532179693581 57.7040803643256,-33.1800051748963 58.0011918784939,-33.0847814948293 57.9997954340755,-33.1474524240325 58.0582431785262,-33.2460298198425 58.3956861769565,-33.0900256301295 58.3726631099731,-33.0423244067866 58.0153769723778,-32.8533649492358 58.6727052068116))
27|POLYGON((99.1493024204459 26.1302053309697,99.5041033621709 25.8970892915423,99.4897856402222 25.5296820668114,99.2320402161801 25.1991965948496,99.2017487943135 25.076124195847,99.7429963919944 24.5584635356096,99.1926536513515 24.9911411624272,99.2283883893555 24.6220466707543,99.1136096993744 24.9016336369632,99.0086999321204 24.8111188500649,98.8295495189004 24.896889440451,98.4070452892331 24.8005094199987,98.3980371323829 24.9773049968722,98.1938678303072 25.2967830723533,98.8419679696342 25.1860852746689,98.6299896320165 25.2994462273833,98.6584234742609 25.3807073772117,98.9373141091262 25.2015751027433,99.0093358993462 25.1542793162818,98.760881023248 25.7492226559746,99.1493024204459 26.1302053309697))
30|POLYGON((32.2349587258932 -29.0851437128567,32.3902990906926 -29.2220047310487,32.3098365894185 -29.4597544535227,32.9705229654486 -28.9564539838944,32.9033543993429 -29.5312540334094,32.30348391989 -29.5588711239277,33.0565636831636 -29.9948419821369,32.2316499227891 -29.5876288525381,32.5213986673487 -30.4125609329423,32.1808062079973 -30.1266038492534,32.0675143965033 -30.0380754536136,31.9164240947426 -30.256795650243,31.6834825837419 -30.3713875436825,31.6076184277221 -30.0358124696272,31.6023405363337 -29.7268377434634,31.9357867455617 -29.4686755755329,32.1601765702741 -29.5308335457513,31.7233318432875 -29.1071449743366,32.1054489270474 -29.2413966822993,32.1671809291413 -29.1115168816572,32.2349587258932 -29.0851437128567))
35|POLYGON((-139.712053334954 -57.4718353387362,-139.61289816711 -57.440786301406,-139.636088025251 -57.7451155378844,-139.408565093502 -57.7115930290331,-139.448016925122 -57.756978549209,-138.996771406515 -57.96602461859,-139.563080241039 -57.966159636172,-139.705829432825 -57.953740269131,-139.347369098139 -58.6497930192438,-139.671572668885 -58.0778044289016,-139.660387587493 -58.8311796287871,-139.746465579593 -58.0382389908692,-140.242375045065 -58.4224939084892,-140.206638153946 -58.29967127139,-140.536201149122 -57.991181488779,-140.514984851196 -57.6347540387917,-140.308949844735 -57.2084630103748,-139.745700024459 -57.9102816568074,-139.783001974393 -57.4574764751193,-139.733107158466 -57.8387418212309,-139.712053334954 -57.4718353387362))
57|POLYGON((-8.01244985432707 65.7906087371502,-7.9295094682429 65.7242607409131,-7.47446478030661 66.0532270112113,-7.20145685410372 65.7320145204474,-7.408576040164 65.514779324772,-7.51262457596233 65.2263442813883,-7.69348373002067 65.0895610670749,-7.94575503098841 65.0557455055164,-8.25847622904476 64.788528681818,-8.30953165515869 65.0596146764015,-8.25280875928219 65.1808758406734,-8.61818261239255 65.2912230124397,-8.54612893315218 65.4091496149208,-8.96477358527836 65.4482470266561,-8.16125928772875 65.5231910837054,-8.70727011525364 65.6511078513746,-8.23543924260972 65.6920400219213,-8.1632625543983 65.7129383445043,-8.09534523027457 65.6468360528337,-8.15398559759993 66.4081568769386,-8.01244985432707 65.7906087371502))
67|POLYGON((7.96652782096773 -57.7274957276635,7.94818126171636 -57.9648713912092,8.35816883688703 -57.4620547947018,8.51820019462772 -57.756999505107,8.20951572094072 -57.9058152013913,8.73350515162182 -57.6873069759292,8.27862144787942 -57.9419281759099,7.96224694732971 -58.0402482617101,8.79675015860708 -58.1746519191971,8.15438746826992 -58.1282954929406,8.20513540411752 -58.3222823547661,8.28148992685073 -58.8652410881759,7.89632797597115 -58.2842062530557,7.7445993107345 -58.8923606472552,7.50892393329859 -58.5770294732601,7.79253212305752 -58.122977634844,7.73482461925984 -58.0878939730279,7.50970309188048 -57.9816755746729,7.79713335593603 -57.9437434665505,7.84148000405083 -57.855766519727,7.96652782096773 -57.7274957276635))
82|POLYGON((-15.4806004336126 37.7733111186379,-15.0730993746071 38.0303526481082,-15.2896759888433 37.5832822340007,-15.4292944707584 37.4881092317157,-15.4381661089838 37.4001340912069,-15.5130443437879 37.377882563299,-15.362527878788 37.1795163876197,-15.5251758375346 37.2981548224892,-15.5303999286882 37.3146470205705,-15.5729318017633 36.9604956645012,-15.6371876158837 37.1897167669662,-15.7956582004325 37.0000252255237,-15.7186749913887 37.1450466090149,-15.9215722974659 37.0553032888779,-16.3120107209303 37.1982654093292,-16.4009624252787 37.3272989042586,-15.565903218234 37.4060084303001,-15.812136117637 37.5244500987037,-15.5876029003162 37.4530592123126,-16.0394665487045 38.2541283354957,-15.4806004336126 37.7733111186379))
86|POLYGON((100.868602249435 -16.7783898258238,100.966870934688 -16.1185664620423,100.971065628532 -16.3310761350027,101.175148653702 -16.2621171939605,100.865392467548 -16.834791601039,100.890563828433 -16.832690663222,100.95956523378 -16.8363680782193,100.877638777964 -16.8500938943926,101.503292730653 -17.4754067529741,101.022350452942 -17.7061645347455,100.694272688656 -17.3974179272794,100.775280567414 -17.0123110829,100.401361514722 -17.5038759859508,100.025577551719 -17.3357270207673,100.720250023533 -16.8830649049733,100.055182246883 -16.6678039037595,100.452618332424 -16.4980721233916,100.752529726615 -16.7045451445043,100.774834953163 -16.6626377731557,100.783872915895 -16.6395523980586,100.868602249435 -16.7783898258238))
