id|wkt
44016|POLYGON((-155.114889246514 52.3291848241329,-155.220407138419 51.9029398733338,-154.742070748859 52.2501492076499,-155.28651849792 51.5300341108127,-155.252641446735 51.467350330507,-154.700508067461 51.3535467226209,-155.325241574467 51.4742999902489,-154.987238536495 51.1264752527914,-155.314970166787 51.1757678385353,-155.331413839947 50.735563708315,-155.429886903062 50.933199544643,-155.544166211033 50.8707286812903,-155.581913940965 50.8584468653781,-155.771872198113 50.6107422626382,-155.484157593946 51.360820563373,-155.555758776866 51.354751934906,-155.451052198984 51.4811547356075,-155.408234976921 51.5035700165447,-155.575761002447 51.6781978934399,-155.485494046066 51.9929883714784,-155.114889246514 52.3291848241329))
44019|POLYGON((39.4382056011385 19.9462233865419,39.5517088451184 19.3509626090918,39.6354440611105 19.1477288403528,39.7146072602227 19.0216901465272,39.9342169246739 18.9980506028452,40.1371572000997 18.5211774405317,40.0654096658895 18.3155644958437,39.472968812437 18.5888549878622,39.3458937226865 18.8084102274004,39.1470908267433 18.7867393846898,38.8681136944278 18.7468009781224,38.5036022285669 18.7440812559582,38.9807465752441 18.9599816793219,39.0169004046771 19.1002924624926,39.3404003561782 19.0010218441547,39.089146742192 19.1717688146789,38.9307304765521 19.3674771913976,39.1817539774548 19.2257529339651,39.0281275267839 19.8447795222324,39.386953446295 19.4650681171347,39.4382056011385 19.9462233865419))
44027|POLYGON((52.1938109536723 -45.5542066382436,52.217878324409 -45.529838414126,52.7819064097642 -44.9210759572514,52.661434015394 -45.195632491113,52.7996439065492 -45.5201975942921,52.9568749922143 -45.6390843215165,52.9005280470307 -45.7851505920158,52.3214137153307 -45.6802892200323,52.2165002906197 -45.5966560537095,52.319917271052 -46.0923022566061,51.9803589828095 -46.3428146716368,51.8317533789169 -46.0072504699732,51.760971738884 -45.7577318575008,51.2923230219311 -45.7530108613532,51.5783094784792 -45.5822337576089,51.6896508938797 -45.4426293420025,51.7169095627414 -45.4305656553526,51.6742918131128 -45.2560872288516,51.8669409814328 -44.8804213564754,52.171001060448 -45.5241215604217,52.1938109536723 -45.5542066382436))
44036|POLYGON((170.908483598728 -54.7339213902963,170.946915875858 -55.2098288833891,171.22811056062 -55.0054545465081,171.677681482038 -54.9375072454817,171.599483666137 -55.3350577838984,171.527017083707 -55.5752141880694,171.161300448069 -55.6006876456172,171.328438457571 -55.8467834291206,171.061244120066 -55.7808460324974,170.844849417991 -55.4736238650524,170.842123462254 -56.1268920085101,170.455227777279 -55.9317731825589,170.450148889437 -55.6709848836314,169.854047106945 -55.5160922506457,170.220767290166 -55.4417316806609,170.200395369042 -55.3294368522368,170.596888139737 -55.1974309045027,170.598569067085 -55.1897171549016,170.690490403689 -55.0175836783813,170.583820256031 -54.4591732680043,170.908483598728 -54.7339213902963))
44039|POLYGON((128.675349782273 47.2010706663593,128.689611147995 46.82279766157,128.611583777066 46.4466651171918,129.228329404207 46.8900364155295,128.990492510812 46.5835837308707,129.073322582343 46.5756671672909,128.875114872112 46.3409987119276,128.772141255108 46.2162946459604,128.778085485941 46.1793941872918,128.95145491375 45.7523090958332,128.766968796359 45.5678841577509,128.481141001789 45.8919049838646,128.29558353227 46.0892178925739,127.623933563744 46.0642702869983,127.66946456114 46.3795231641303,128.322915529221 46.4259548966403,128.537505875785 46.3777820028626,128.24579809232 46.7066040730591,128.456700032096 46.6739046322929,128.419556815276 46.8527161354758,128.675349782273 47.2010706663593))
44042|POLYGON((-168.597386097085 -45.4045315493831,-168.319861660035 -45.6556355355642,-168.65601485669 -46.0562143850543,-168.49677728399 -46.0130006686991,-168.504268440373 -46.1133226504868,-168.540231547552 -46.1429934748855,-168.637030746461 -46.0849947708222,-168.403927434214 -46.886033731135,-168.610041538895 -46.9715037399165,-168.666081003818 -46.1334042609652,-168.76654888609 -46.9477318273794,-168.713067024096 -46.2772862853767,-168.756914141116 -46.2153927982626,-169.241501510467 -46.7998035566489,-169.131814004039 -46.4625574505084,-168.680870541821 -46.0668714797536,-169.030673436336 -45.9940004001995,-168.774018495619 -45.9966585566709,-168.794369173249 -45.8133179572661,-168.847458130577 -45.2156372578273,-168.597386097085 -45.4045315493831))
44045|POLYGON((-98.0620759698717 51.3054943657215,-97.6878727835018 51.3226147145532,-97.5802634126069 50.8257504865575,-97.1582035662439 50.4801891599832,-97.3246918981464 50.0626301873214,-97.9885021032446 50.3120439012817,-98.0123834483567 50.2701089673648,-98.0792118022489 50.1963332992372,-98.1250248097901 49.8950848471898,-98.4133414251196 49.4883170369757,-98.0919143307856 50.3914233673083,-98.662985161442 49.6309192303659,-98.6045849892294 49.8526930028672,-98.6259182295597 49.847588218342,-99.0090583411116 50.2294114297874,-98.4820008675359 50.3903681266301,-98.1384752599769 50.4441328819458,-98.491966789336 50.6900120786587,-98.6368057104569 50.8764810058624,-98.0835522825277 50.451454880843,-98.0620759698717 51.3054943657215))
44046|POLYGON((-156.79860703812 18.088425534068,-156.736546728739 17.4104218275777,-156.605028687811 17.3398735520388,-156.277606363503 17.28245501167,-156.009529886376 17.0992580068621,-156.605386673409 17.0952591873418,-156.883573311523 17.1622189528511,-156.206200623043 16.5953773059957,-156.66130573491 16.9450451374784,-156.552447816906 16.675601786492,-156.569286430514 16.5565177419549,-156.780516925093 16.455199440615,-157.167478416351 16.6487683244221,-157.611806379982 16.5102887077026,-157.015369268518 17.1398382455707,-157.480847113459 17.1657045702958,-157.349175025432 17.4158548151174,-157.102877603575 17.3858173705844,-156.947090020091 17.2568675267236,-156.930096137747 17.1847700157495,-156.79860703812 18.088425534068))
44069|POLYGON((75.4057259713226 21.7618488248548,75.5744141905479 21.8957710840629,75.6870115921543 21.8483052238234,76.1983156259843 22.0002553193271,76.262526980262 21.6396279512397,75.4402543382114 21.6351698393023,75.4046852362723 21.6348208833905,75.8295618750617 21.3950549364079,75.7000520889056 21.3493966878702,75.7787010176492 20.7911795650855,75.4175258479977 21.2670239246302,75.1032744882955 21.1028783987984,75.3519172324136 21.5951380472057,75.0953663235501 21.414871135498,74.7479246420341 21.5177568600857,74.5298385583167 21.709246557258,74.996565227974 21.7488890985253,74.8968518088534 22.1202975534838,75.015424649185 22.4275946070874,75.3754170818579 21.7170793098631,75.4057259713226 21.7618488248548))
44070|POLYGON((-117.584506788575 -58.6898542374048,-117.587223005378 -58.7527868216316,-117.583004924436 -58.7266613598962,-117.419807030703 -58.5698601437921,-117.547316946183 -58.7656389558019,-116.789886754601 -58.5572849230822,-117.166375155362 -58.8626015833646,-117.25722684712 -58.9774318437072,-117.139274616704 -59.2838882943489,-117.010581131577 -59.4414774701658,-117.451543256157 -59.0397032075576,-117.597326940363 -59.1450361254177,-117.594586087926 -58.8033449332336,-117.74688617283 -59.0083711473853,-117.674616737888 -58.8147336661719,-117.861649624081 -58.7164830556947,-117.929437138533 -58.607786358576,-117.599982870173 -58.7729654068694,-117.698858596592 -58.5035894138037,-117.592301006448 -58.7297233936723,-117.584506788575 -58.6898542374048))
