id|wkt
38|POLYGON((147.351740584527 51.539787986668,147.506347859747 51.7054187523405,147.429112375721 51.3352571143122,147.628455266891 51.6601773147954,147.801529585611 51.6676444755318,147.675978555944 51.4480364973696,147.742931793865 51.4315487912979,147.94914535174 51.5088871205217,147.997669255232 51.4377778543816,147.448334985775 51.1458010047313,147.422602869661 51.1177065780272,148.252404476155 51.1697583025147,147.90042845486 51.1303421444519,147.738522134037 51.026638467661,147.397832966392 51.0640100515655,148.057592028153 50.7847644905605,147.953120150424 50.6385384803871,147.655597797277 50.8244533615936,147.551576197443 50.7875075285528,147.760287266027 50.2611274949058,147.338701554835 51.0231856481978,147.554011028337 50.199433925413,147.509322510815 50.2767575565377,147.465928197121 50.2346053989413,147.277823075642 50.307620229502,147.260189685126 50.7286446508724,147.1483325009 50.3332858708514,147.117313380695 50.5896463425679,146.929835214562 50.4307123760551,146.784114633503 50.3124990577591,147.229698585795 50.9864528592203,147.13993343934 50.9414051087011,146.71170930457 50.7196692021395,146.875444755369 50.8604332751814,146.862020240572 50.8632644135876,146.521190106419 50.7789284737942,146.878570587868 50.9361847313999,146.855570527517 51.0444363165927,146.707660572494 51.0355510116774,146.559469801329 51.0511072657238,146.687977553813 51.1651645140097,147.046265949272 51.170322136518,146.865452064803 51.2408422128121,146.947720366122 51.2693461712669,146.592102523868 51.7134732870947,146.656652389014 51.7940513662575,147.136067848461 51.3172045650392,147.099769085365 51.5495874863124,147.187646770927 51.390614356921,147.296780920223 51.1432895106165,147.351740584527 51.539787986668))
52|POLYGON((122.796694872056 -11.361219905097,122.820670688439 -11.4969610480461,122.907180215846 -11.1931184675871,122.972522034206 -11.0933061995187,122.865122133082 -11.7597271395581,122.916620185461 -11.7909524718442,123.318523505575 -11.2355647025085,122.925609792192 -11.9132987104808,123.463781430057 -11.5869518066183,123.462830254294 -11.7948656804163,122.838304948397 -12.0417795865904,123.460310085853 -11.9299895232811,123.128289374596 -12.0565674048225,123.396508580769 -12.1651341697575,123.533842916379 -12.2786140609379,123.487486853221 -12.3982719239898,122.884834623462 -12.1391879136783,123.022234290915 -12.2763585650461,122.950382237953 -12.2997333057539,122.801984934355 -12.1017787752479,123.079857961569 -12.8612049703267,122.881482588176 -12.8610888029239,122.769666306806 -12.4302793415387,122.740603686646 -12.5397591985005,122.683386123165 -12.3524614786409,122.332816812513 -12.9390114807843,122.529838150477 -12.4649563854181,122.218460709736 -12.8474942584959,122.53770382951 -12.3608601923401,122.76585898405 -12.0732856632903,122.20707744301 -12.5829086014608,122.250821663506 -12.4512282087404,122.024999838812 -12.3971430744999,122.689330959184 -12.0949774044045,122.725890372442 -12.0768669360658,122.329132746354 -12.1800056785284,122.484678690887 -12.1273251697521,122.173947029544 -12.1385354112364,122.509369371764 -12.0485823106277,122.257731215368 -11.9558149544773,122.549329302743 -11.9982196104942,121.927195719027 -11.78505917707,122.528959772267 -11.9035313455394,122.320175475825 -11.7036298792665,122.155881158813 -11.3976836803304,122.42212575768 -11.415007795617,122.625596209739 -11.7171891643246,122.659871970814 -11.6991441107707,122.745230745425 -11.8491475629147,122.750328525792 -11.3857413786362,122.796694872056 -11.361219905097))
56|POLYGON((-6.7265643261697 17.1534304488187,-6.51339181448358 17.5854216900383,-6.38944701542696 17.4860923312036,-6.29581048656313 17.373128023217,-6.07894227472945 17.4036653050405,-6.12441455310205 17.3052001603627,-5.95413217690261 17.1957816181607,-6.25598979073077 16.9880316649371,-6.54767507600431 16.8105449342887,-6.4326889102084 16.8064213099185,-6.33803270579594 16.7751339679943,-6.65621475566042 16.7575654237443,-6.08496053102666 16.5350806670788,-6.00701948142119 16.4883795533106,-6.1102929128352 16.3924761934203,-6.10569960181223 16.3052391822012,-6.72296290861969 16.7237112031287,-6.7366536482573 16.7380645350218,-6.69479978756877 16.6621154807469,-6.32428882414917 15.9294107600041,-6.35253896571271 15.8746309025813,-6.55107539517934 16.0236639219599,-6.73938325275779 16.2439751206607,-6.78815018298685 16.0151057062766,-6.80434003064967 15.8970581533703,-6.90421981829494 16.0327962492154,-7.10861586259065 15.9221452566245,-6.94110109225408 16.4623255460086,-7.37607225938055 16.0246367875404,-7.04445897607747 16.483158350185,-7.3222854885258 16.4002049733519,-7.45493023685448 16.5062136112204,-7.23075339374272 16.7107401139889,-6.93287088872335 16.7544848281534,-7.20379086584073 16.7313390023497,-6.86952848588711 16.7776262540648,-7.39726334773483 16.8597230606688,-7.67737336616853 16.9660556210519,-6.88878079265846 16.8128727023278,-7.56640449668218 17.1229897075464,-6.80270460555985 16.7927513852301,-7.1029685844148 16.9775575048833,-7.57805040373748 17.3583677951829,-7.28649601090765 17.2063904424269,-6.86355779402003 16.8798605725763,-6.95804843973764 16.9992367077916,-6.98012466115967 17.1669981620513,-6.77535250169902 16.7855182172389,-7.01693398709181 17.3335254946832,-6.81824334499655 17.0573914974627,-6.7265643261697 17.1534304488187))
83|POLYGON((-127.273236657447 -11.8118804751105,-127.202216909816 -11.5810523506912,-126.962295985421 -11.2048170794146,-126.797617638535 -11.086996438645,-126.802824930176 -11.2171029091837,-126.981509746071 -11.5590040878293,-126.97213025593 -11.6048798381258,-126.89755016258 -11.68927068358,-127.028913374308 -11.8188668019462,-126.552351376679 -11.6470989086189,-127.037326930809 -11.8689964721521,-126.334977333566 -11.6882561804702,-126.301859208922 -11.8524342935902,-126.320546949727 -11.9602546732667,-126.890460531906 -12.0265257454424,-127.145601542812 -11.9914151136159,-126.480116885293 -12.4726578699972,-126.736391773245 -12.4726150301628,-126.623438074613 -12.597046995507,-126.706435669296 -12.6032223235589,-126.8486798835 -12.7269648545416,-127.054086644167 -12.4966305561857,-127.152677095993 -12.2575396366665,-127.059228083103 -12.6067544008744,-127.217059023402 -12.2486384981478,-127.180654712917 -12.9205403218413,-127.261256434305 -12.8636365903791,-127.330674101454 -12.6263527580859,-127.298867936377 -12.0190672633909,-127.369753334115 -12.1161054456629,-127.619300659563 -12.3203457426886,-127.361755776696 -12.0018961144919,-127.926836035389 -12.2742660889966,-128.156346303248 -12.3002813572189,-128.13708808164 -12.2923200756925,-128.029822782321 -12.2441713065338,-127.57441244263 -11.9955395035137,-127.855557931737 -11.925381880646,-127.885583670222 -11.7774624350482,-127.680495172924 -11.7392721267302,-127.342514850188 -11.9036980560675,-128.030008225108 -11.3476853287071,-127.559372381074 -11.6845650083989,-127.784927742874 -11.2367427734341,-127.657491976276 -11.365462012845,-127.530671059686 -11.5099453661237,-127.7171833885 -11.1084970972902,-127.432495652047 -11.4835619611982,-127.400325855395 -11.3767741183915,-127.347627016441 -11.4803801165759,-127.273236657447 -11.8118804751105))
96|POLYGON((-72.9038602435596 -67.2162481348651,-72.8037485265073 -66.4784601729188,-72.8211984695037 -66.8112745337565,-72.759020035633 -66.5806566328416,-72.890588696113 -67.2273080388797,-72.8263376472345 -67.0867668825015,-72.8779267480997 -67.2126993173886,-72.6779407249187 -66.9416572442662,-72.5455983147532 -66.8552757939649,-72.6533798480866 -67.0996171254147,-72.4525324076198 -67.0075311882483,-72.8111212132678 -67.2402942246908,-72.0476507790956 -67.0830902221446,-72.1577343209187 -67.2231594857423,-72.4281534423761 -67.2775494297795,-72.082638867513 -67.3651118064202,-72.7636027914454 -67.302162347132,-72.1039202993046 -67.6166094112498,-72.2839604567666 -67.6221464408914,-72.6915199674451 -67.4541833203982,-72.8189042283888 -67.3845325947571,-72.46957248686 -67.9943273750379,-72.7696488324189 -67.6617632764385,-72.7776861886992 -67.8840953412671,-72.9077996516702 -67.3110415866554,-72.9330872607881 -67.4372659304851,-73.0001008951031 -67.7656486220017,-73.091207692798 -67.8249480896385,-72.9487704942542 -67.3709041439464,-72.9753394531356 -67.37240075853,-73.360568721853 -67.8511649144987,-73.2798962396176 -67.6265462278746,-73.7414261153382 -67.823084678463,-73.7013798975247 -67.7213462789577,-73.5709875553192 -67.5245093811211,-73.266210493895 -67.3290992713488,-73.2457833455993 -67.3204590967655,-73.5302855285886 -67.2895849904057,-72.9551991357114 -67.273289421088,-72.9393925230874 -67.2716262906491,-73.2495672192243 -67.1504583245993,-73.2389192954041 -67.0948393601593,-73.0291216097649 -67.1695442347819,-73.567921432251 -66.6149689403584,-72.9374652860464 -67.2467259115924,-73.2152773854189 -66.9291945561664,-73.2732008615841 -66.8390549364753,-73.0340438331088 -67.0456017345788,-73.1832751503084 -66.5812657218118,-72.9801038250991 -66.7108138093351,-72.9038602435596 -67.2162481348651))
102|POLYGON((157.645655000163 32.931322978991,157.796782902376 32.7074141138087,157.922645713741 32.8107179870539,157.816987693062 32.3189120936441,157.829952796531 32.2511240693976,157.687928268546 32.0275542953109,157.860342815336 32.1351827835435,158.330307647491 32.3673413440102,157.683797513164 31.9942206337686,158.187752826042 32.03458278327,158.31439893578 31.9249736351581,158.092825943593 31.8543672965236,157.677651061044 31.964273203071,158.229382992387 31.6696427166181,158.483939902359 31.4886624189602,157.829107165103 31.8666861129933,157.72801523804 31.9138840122366,158.183141825981 31.3063482936345,158.210333679742 31.2627705234716,157.851873194697 31.7092828797058,157.939455932136 31.4947253793493,157.655836477463 31.9493213956223,157.928922029108 31.1734787286126,157.87588729968 31.3047176533443,157.704045275496 31.2865271014053,157.585647406833 31.1996675331741,157.454528508156 31.353893078092,157.471333060046 31.6435701101549,157.440866288145 31.6203622202672,157.161824176812 31.4594173503304,157.388399277822 31.7425973670394,156.838454807532 31.5256219598143,157.187934442502 31.7507085182189,156.894196976251 31.7648513355811,157.542700916629 31.9545621324999,157.084404233948 31.8914182171043,156.919633713063 31.9410745460666,157.14737375249 31.9932219173695,157.232108712392 32.0797173001988,157.224418565466 32.1771438000573,157.36721958294 32.1463491878952,157.188116797642 32.3281756026587,156.916659826357 32.644242928607,157.306062357582 32.4259696759066,157.387906816924 32.3344249314756,157.416974516126 32.3315696895232,157.417939571051 32.5239091124931,157.333341956863 32.8544992445953,157.596594368195 32.3121346917303,157.641685333432 32.8461678645725,157.645655000163 32.931322978991))
104|POLYGON((-77.4395895372829 -50.8981231172256,-77.2863912221957 -50.893050514142,-77.355617321337 -51.3669569613618,-77.3736546127138 -51.547755916775,-77.2406053529735 -51.401589878571,-77.0532243122826 -51.0235407477799,-77.0082848985426 -51.2107754933628,-76.8350334729734 -51.0595846351533,-76.8306352146941 -51.3355063509388,-76.7962244045247 -51.4873941605238,-76.5902331347829 -51.6257732551825,-76.5013392897941 -51.7945332935005,-76.9861313200677 -51.8976492626545,-76.9925804679866 -51.998983371545,-77.3945598625093 -51.85964893336,-76.7395568954615 -52.2413352431306,-76.8793923172156 -52.274022640149,-76.9402487791018 -52.2780027349099,-77.0654492038061 -52.259277515503,-77.3707406015363 -51.9443500958212,-77.3895945344212 -51.9797246914019,-77.446382855073 -51.8629879023253,-77.3420509614737 -52.2722915616235,-77.4383420725659 -52.3665373345557,-77.5590676860834 -52.6691894865912,-77.6449851513483 -52.6268975507874,-77.4989913622254 -51.9432573856583,-77.7389192266026 -52.3520238374884,-77.7967436488897 -52.2340371886328,-77.8380844000925 -52.2736434574117,-78.1433221876416 -52.4335390442287,-77.675375185069 -52.0272008946918,-78.2765638469917 -52.3830307470413,-78.0001349750113 -52.1905796747919,-77.8740454902956 -52.0952478188254,-77.7952809808108 -51.9888765662703,-78.1347095967479 -52.0612760500214,-77.600097073772 -51.8564543094398,-78.4437497042398 -51.8647558721958,-77.8817232447198 -51.8105668236022,-78.3540202533716 -51.6858676436245,-77.6830923352221 -51.7918292202914,-77.8772213273256 -51.6392924868063,-77.5311633047193 -51.7747924213641,-77.8755397291635 -51.3729726474058,-77.7811538231832 -51.3941597084517,-77.7512468275402 -51.2455854109909,-77.539272689169 -51.6385734129819,-77.4785940363361 -51.7351394877413,-77.4774930904378 -50.9834837402707,-77.4395895372829 -50.8981231172256))
110|POLYGON((-11.1389227842967 -58.5206239509716,-11.0255873106407 -58.8041498976738,-11.1258727009153 -59.2219384732005,-11.1592701890012 -59.281381114066,-10.7168020799089 -58.8654140233865,-10.5918462534182 -58.7943933570245,-10.7055851060291 -58.9055729875539,-10.878647073885 -59.1173369884842,-10.5454820022505 -58.9564926946468,-10.3657591178275 -59.0418271520237,-11.1333864206854 -59.3422455742158,-11.0385795083053 -59.3170632624591,-11.1245159414737 -59.3630089234564,-11.0668293252705 -59.381879448891,-10.2693535591387 -59.5892600023257,-10.7580059939985 -59.537619150461,-10.978013907078 -59.4965620223188,-11.1910846745788 -59.3803961070803,-11.1852847759902 -59.3951786736415,-11.2067207214784 -59.3725061522347,-11.0788016768446 -59.6504549150069,-11.1963575839591 -59.413088309635,-11.1443850043842 -60.0076137922923,-11.1803482909905 -60.0337333991944,-11.3589995102702 -60.127468090489,-11.2656963158671 -59.6461445399534,-11.3968671442771 -59.8015624340838,-11.4048449078281 -59.6865011068742,-11.6783842947571 -60.048960133518,-11.6102224896053 -59.9351214715835,-11.6652836555326 -59.7813922446202,-11.8839455155445 -59.8765480197509,-11.4447130962353 -59.5142676711843,-11.8794818301184 -59.6031962287688,-12.1138174764749 -59.621586240775,-11.3869267115929 -59.3737818129305,-11.6028359618692 -59.3148581945252,-12.0743325871371 -59.0837096572192,-12.0123701412738 -59.0468263873888,-11.4851327910513 -59.238537779664,-11.4496840463216 -59.2298542975486,-11.523619304866 -59.0835730760513,-11.4551819706225 -59.1038684696991,-11.6335794212237 -58.7640869548717,-11.34503055419 -59.1359582787766,-11.5450941760082 -58.7877215109924,-11.2998297597394 -59.1711541568785,-11.2157001720582 -59.3493726681038,-11.3657937129687 -58.4438836977191,-11.2668033626614 -59.0063869225542,-11.1389227842967 -58.5206239509716))
122|POLYGON((85.4982290924396 26.5489404922105,85.5170982778287 26.0108610575014,85.6529286281698 26.2897563961735,85.9044973072807 26.5193397664302,85.8120189854997 26.1684779316169,86.052892834222 26.2041229374398,85.558771803911 25.8232868986259,86.2820462575998 26.1080037241273,85.8620586999513 25.833164835395,85.5981779343576 25.7550418609349,85.8975717801974 25.6932832595872,85.8028192760047 25.6791644700054,85.9478998824969 25.624836876777,85.4904822699188 25.7332163877287,85.7789293664629 25.6122525366569,85.8768355377086 25.504527324747,85.8929400379669 25.4571729518935,85.5443903349234 25.6593692236225,85.5321057579729 25.6634777534117,85.921035494572 25.2220299584807,85.7496352259383 25.3648332528277,85.8282647465328 24.9921058425314,85.8098993734237 24.8787292266654,85.499310497164 25.5743284162852,85.5211212358897 25.1858923443778,85.4941868294233 25.3053893837429,85.4395219075082 25.3152583070887,85.366435669246 25.3045181260384,85.3990342997401 25.5975546218827,85.3997280121675 25.664055333484,85.0823669735906 25.1237518401634,85.2007756182051 25.4768973864969,85.2607733224851 25.5776231988107,85.1252200538845 25.5255047933504,84.6711552559948 25.2247991114212,85.2453107586331 25.6580116323176,84.8091298837364 25.5971695927577,85.4136488862757 25.7558099538386,84.8084649409281 25.7622296467956,85.0886165112538 25.8345579278266,85.2533208925535 25.811990332193,85.2021902207599 25.8851889535655,85.0659321599845 26.0605317251737,85.3910039844584 25.8116231787845,85.4285600376891 25.7647443670998,85.3686473574476 25.9058389647261,85.1278780593568 26.5305166025732,85.4090424616374 25.8232383449199,85.3982071923966 25.8619300670708,85.3878943291766 26.2272066450414,85.4982290924396 26.5489404922105))
129|POLYGON((-63.570575718116 -39.5229691638823,-63.552759328756 -39.1263977507682,-63.3867100550221 -39.0295620396951,-63.2588011590038 -39.0131370195943,-63.3396109173686 -39.2530691223977,-63.2815759003421 -39.1740306755936,-63.2443497892537 -39.2279327278317,-63.1044689416394 -39.1075609213447,-63.0865571448611 -39.2086518556991,-63.2103239280534 -39.4775430166986,-62.9081012639311 -39.4413205752259,-63.3228245640499 -39.6791759461046,-62.9538366578089 -39.7072955743586,-62.6379666213963 -39.9180706418337,-63.2785572076952 -39.8372611063876,-63.2019967406745 -39.9197279140531,-63.5060783913289 -39.8042220382998,-63.2924765454628 -40.0151097364454,-63.3987641454856 -39.9481480859125,-63.1762433841704 -40.2573739356738,-63.2311843152895 -40.2298255251257,-63.3348426578813 -40.2716068115287,-63.4783873941968 -40.243252526513,-63.5716751198365 -40.3232324625291,-63.5881339255957 -40.0078332786322,-63.6608816825824 -40.0357156436101,-63.7790455067101 -40.1639757860144,-63.9435531061397 -40.2454265081543,-63.584582480773 -39.7577214365225,-64.3638358930261 -40.3681536559249,-64.3189605796273 -40.0997355055221,-64.1910569160942 -40.0388814172465,-64.2970875419492 -40.0353054378654,-63.6056311960787 -39.7594352032299,-63.6230636283145 -39.7550333398114,-63.7008138925608 -39.7408918783825,-63.9898611053938 -39.69544728491,-64.1055651251031 -39.6632763921865,-63.8201338196843 -39.6566713623104,-63.9465919134464 -39.5335201283944,-63.7370755021442 -39.6077218176345,-64.0527244962645 -39.319800289254,-64.0169966271266 -39.2863093600611,-63.602779287274 -39.7260166625516,-63.6850259522785 -39.6303790479234,-63.9773106093511 -39.2377498300211,-63.6280522387523 -39.6464007141686,-63.7086304230994 -39.4625722890833,-63.6691966649321 -39.4249971051849,-63.7258982862354 -38.922581086719,-63.570575718116 -39.5229691638823))
