id|wkt
19921|POLYGON((146.54069125108 -36.9799858676834,146.809799150747 -36.2771662961176,146.576376577297 -36.978080458754,146.671469234365 -36.8411812040871,146.681023761578 -36.8887038186286,146.943317059629 -36.5841640397361,146.778565763244 -36.8479127258645,146.890687432661 -36.7734163938728,146.871313460846 -36.8993888746835,147.046882262219 -36.879175380943,147.291922448651 -36.9301684920553,146.535197851695 -37.1220553645015,147.013008336706 -37.2020682281525,146.89505999465 -37.1934439605519,146.862619748181 -37.2565783372455,146.889566739251 -37.3013472282022,146.554315012631 -37.1383354633204,147.272915977235 -37.7337218145882,147.101977631469 -37.7150907050589,146.742195743894 -37.4091700419992,146.824845337718 -37.6115947801029,146.884796177623 -37.9434392520949,146.861410355307 -37.973818886,146.536785539655 -37.2125285635962,146.498597079493 -37.4601779266552,146.408494590033 -37.9254980840271,146.269981172041 -37.9334244717892,146.267646452804 -37.5512645157118,146.114593381313 -37.6441840444759,146.483410372591 -37.1664694028038,146.19255453788 -37.3489176591727,145.885851943894 -37.4572815506833,146.105351189514 -37.2256370089596,145.795794006898 -37.1487054008565,146.507173095814 -37.1215604727005,145.576843693965 -36.9164301720135,145.800303383561 -36.7715775661404,145.716827879315 -36.6623227343206,145.891858794138 -36.7557225292286,145.739620142149 -36.5932132077327,146.394620322755 -37.0321111850602,146.051031384764 -36.7649066097866,145.924987045691 -36.519066737277,146.099144386825 -36.5262176543299,146.383584344832 -36.8759301125016,146.462421068792 -36.9149501733395,146.342414241746 -36.4661166828122,146.509551675916 -37.061307995352,146.408940841211 -36.5330000478939,146.458057964774 -36.166920149097,146.54069125108 -36.9799858676834))
19923|POLYGON((166.276546210165 -53.318254224398,166.285901167252 -53.6877077872268,166.347121718649 -53.6572165274205,166.339230813677 -53.8436151369617,166.402498307832 -53.8938842462688,166.311216464231 -54.1009131184721,166.310892991229 -54.1033680802159,166.95316116745 -53.4767117523784,166.415253146899 -54.0506806462932,166.372082293676 -54.095283882759,167.124361371965 -53.8112008218073,167.192134792651 -53.8993128859728,166.851458288083 -54.1228260295006,166.824318817603 -54.241593605489,166.348402179958 -54.1951364736661,166.861441384027 -54.4661806089153,166.802281867741 -54.5734927174165,166.312197703121 -54.2129269315559,166.377777043652 -54.3338502755188,166.430250606298 -54.5912957245222,166.503275519435 -54.87059338258,166.292097229123 -54.2819814271351,166.297291124155 -54.9409195152631,166.257231792659 -54.3419601690464,166.210075898596 -54.7101461379969,166.205440392736 -54.3357364399374,165.867104568446 -54.9969981320754,166.128436968931 -54.3961655162364,166.168440980193 -54.2874271747989,165.946796325767 -54.5538366960843,165.752021636044 -54.6050493529,165.68662912531 -54.4590166894836,165.531731254099 -54.3401184019596,166.084821043497 -54.1716600293021,165.934353320169 -54.1655723801062,165.868741739502 -54.1215827928667,165.558897298515 -54.078092332689,166.234291354639 -54.1606672485912,165.35749256229 -53.8585329035274,165.643097161319 -53.8593411087332,165.419879913569 -53.6834461502213,165.526525416196 -53.5249439164921,166.08677416399 -53.9882234723744,166.012601332689 -53.8704159721189,166.098351449948 -53.8752066770196,165.963187525155 -53.4934724986326,166.223417024988 -54.0501037582562,166.216192106313 -53.9893337475231,166.156121034016 -53.7273638361641,166.17248695831 -53.4645506497721,166.276546210165 -53.318254224398))
19942|POLYGON((90.0856252729849 -39.7452950607168,90.1545659757696 -40.215707544863,90.046936202099 -40.6043344297057,90.4214859156175 -39.8166200456009,90.4368082181136 -39.8732887116523,90.6770541003658 -39.9324112568674,90.7012955729421 -39.9966022885706,90.426482251957 -40.323968024249,90.1271382030501 -40.5960780167095,90.7617919362997 -40.447317130866,90.5105977901901 -40.521399027143,90.7173745906052 -40.5196545686365,90.633972853257 -40.6638344066712,90.9670902061045 -40.8066333933647,90.9564392347631 -40.8718981806434,90.264031964029 -40.7416500874739,90.6634038009308 -40.9881402417192,90.6759908570253 -41.0484252555437,90.7323195202085 -41.1443937490028,90.0522947408409 -40.6744952384828,90.3899391656145 -41.0317293671092,90.2793371636068 -41.0340809434514,90.0959433645918 -40.8504551090754,90.1192339975084 -40.9576493636173,90.0329478854092 -40.7146530348571,89.9913343256221 -41.4075442917885,89.8305718600212 -41.5565838227631,89.8702817123322 -40.9856887393352,89.7210920817429 -41.1921820623271,89.9458844685887 -40.7678224396778,89.5037726503449 -41.3989513914784,90.0145015490196 -40.6622376446034,89.5489246006454 -40.9623642273527,89.5802192151659 -40.8986950492029,89.6165437305581 -40.8555492222642,89.8197243938441 -40.6980853924613,89.7047492160565 -40.6825810071843,89.8091175086301 -40.6185243104403,89.5206568749822 -40.530693420552,90.0044328161941 -40.6463300528262,89.3795560805314 -40.3474555933408,89.7588825378965 -40.4802586009079,89.7422987664969 -40.4408563401614,89.5528659351064 -40.2868876582829,89.693263024435 -40.3274431151304,89.8261902699408 -40.4406217596983,90.0131701701626 -40.6325134064782,90.024742909603 -40.6504575853802,89.9295371747997 -40.2372609798796,90.0124402307523 -40.5037765965366,90.0856252729849 -39.7452950607168))
19945|POLYGON((-58.0277828152118 21.3934855047429,-57.9207694495283 21.9638207334665,-57.7162035830051 22.0364434984548,-57.9562158907242 21.4077194894149,-57.8279615498126 21.5319038982424,-57.4361038504257 21.7879682854896,-58.0177106681391 21.2233299009601,-57.8119633266676 21.3425247477788,-57.8975637279973 21.2755714283235,-57.2569272381343 21.4560215321923,-57.1135125180295 21.4777209021612,-57.7761476433944 21.2362114469466,-57.6491352725267 21.161072508085,-57.8617639985676 21.1811957257299,-57.3115290017085 20.9143034620211,-57.9349383373541 21.1717348284465,-57.7911339381311 21.023756661912,-57.3777976638381 20.5791891870146,-57.7123107090766 20.7347479961246,-57.8852573215095 20.9953526235613,-57.7950354198343 20.6317045407033,-57.8973008462448 20.3701573400265,-57.9980915218286 20.818631262956,-58.0367636234962 21.1677690070122,-58.2889354519905 20.2792713173007,-58.1214624441302 20.9648430224134,-58.0638495696464 21.143097341905,-58.0968074832425 21.1151830699375,-58.0483837480358 21.1966501383279,-58.5017443473463 20.9109891023665,-58.2872747675008 21.062087712036,-58.4012503890313 21.0435258596164,-58.7716979158624 21.0511859492252,-58.6490426837325 21.0791071887102,-58.1106905715283 21.2080278916227,-58.1813146117281 21.2072040813503,-58.0652450538891 21.2143520023902,-58.7587127493224 21.2954987096734,-58.7778531048026 21.3175545844511,-58.4998991181002 21.2866714187469,-58.781680616073 21.4818639810106,-58.1269034351422 21.2508579944909,-58.2548717365032 21.3069981162389,-58.8424372974649 21.7201175181783,-58.1556567144551 21.3420644118409,-58.3933374514189 21.7225810986003,-58.2081788554735 21.5963061974448,-58.3206408942703 22.0572295814309,-58.1884877452009 21.8674389017807,-58.0455250703782 21.7195574124056,-58.0277828152118 21.3934855047429))
19949|POLYGON((-116.553858907334 -53.5365710908633,-116.522103659816 -53.6028736447777,-116.386141024539 -53.1498987444612,-116.336040602155 -53.2084816079022,-116.170518585106 -53.1553193503556,-116.133152859822 -53.3282197404965,-116.056953179495 -53.257866179423,-116.538043033939 -53.7524496283843,-116.150642850902 -53.5260233626156,-116.411957698421 -53.7043099038678,-115.671502106718 -53.5950948561656,-116.148951408781 -53.7471001251634,-116.513985655144 -53.7756926069686,-115.844623160646 -53.8953889573501,-115.999775002612 -53.8754623230996,-116.045217151499 -53.8780601574172,-115.718404581653 -54.0465288873395,-116.507343972772 -53.7957834782424,-116.328133357709 -53.9040400261012,-116.166698755799 -54.0738477040763,-116.546160828568 -53.7932966743319,-116.101088965667 -54.2844501475017,-116.152785789149 -54.4689853464678,-116.364147881748 -54.1467324630494,-116.132353296282 -54.6618717693729,-116.398985208994 -54.3617152242647,-116.383955488522 -54.53023117534,-116.560674872208 -54.097702368638,-116.586407122951 -53.871593915912,-116.586762609443 -53.8209520811423,-116.802399805734 -54.1137955670048,-116.925665708992 -54.2682577763804,-116.578665347525 -53.796137871631,-116.964914375823 -54.1429524649263,-117.373583575142 -54.342019905512,-117.066424902245 -54.0617969083325,-117.063727939838 -54.0241997439546,-116.861934352031 -53.8411964315104,-116.805711614765 -53.7935243197136,-117.424602481734 -53.7414852905073,-117.032034454299 -53.689002106825,-117.024089309877 -53.6546269776594,-117.346350383905 -53.5030890319151,-117.189342300879 -53.4758946398331,-116.987633577714 -53.4675879392911,-116.600318997244 -53.7358843362555,-116.594282037471 -53.727954806488,-116.926680290775 -53.0854241570582,-116.686443341501 -53.4129401710829,-116.640407421638 -53.3096329112682,-116.553858907334 -53.5365710908633))
19963|POLYGON((158.026501480111 26.0896229360152,158.076399207341 26.112519464349,158.273391062095 26.3783626136855,158.324620719136 26.3399132097331,158.423668251981 26.2667911348482,158.140866178086 25.9697926276698,158.571795357631 26.1151951381983,158.33241954307 25.9866110617346,158.542603200397 25.9616082140591,158.523963910436 25.894551697362,158.576002075483 25.772166244301,158.932486984417 25.6139830083866,158.758458000932 25.6570649560681,158.777601644727 25.5120980721853,158.378801566759 25.6850940508486,158.210543605064 25.7196494428658,158.274403891508 25.6205313829592,158.076856982463 25.7908035616149,158.37033905504 25.2501404286377,158.195244137627 25.4250160650911,158.120489964743 25.1578991612733,158.08720346167 25.3404750369963,157.981647075038 25.5813555191122,157.91554670236 25.3489195854694,157.674453592251 25.1253974094827,157.669823741987 25.2202799683056,157.891787635565 25.7148181471141,157.461978859821 25.0951437208732,157.62510951487 25.4299176398038,157.314309308873 25.2811581998153,157.879623379673 25.785719796915,157.934445785661 25.8392502340541,157.857487603708 25.8122802325646,157.201571047373 25.5882640360743,157.359530351251 25.7893781961395,157.736682328527 25.862299599586,157.744213879608 25.8959611135033,157.235574147222 26.05336274571,157.625657894889 26.0543831365531,157.777487116723 25.9991055668514,157.770208792079 26.0081444341663,157.327967484017 26.2360960015962,157.809065063955 26.0557365780478,157.473846078676 26.4823264195648,157.457635075507 26.6995256350639,157.946798422545 26.0191403123862,157.979822072758 25.9620952284294,157.793005444797 26.5177969533751,157.944603115741 26.5855193646635,158.009981310356 25.9398073880242,158.026501480111 26.0896229360152))
19988|POLYGON((-131.860150040081 23.5633725406661,-131.857274469618 23.3570677420666,-131.73514348945 23.6430866060842,-131.793392727217 23.3947103030652,-131.62029505309 23.5526564526102,-131.840299919028 23.0908906412799,-131.656574906928 23.2160178398122,-131.45399946057 23.3750756408099,-131.672385510154 23.193782808708,-131.200366734958 23.4427395434223,-131.652493571174 23.1164736995346,-131.18317714421 23.3023392394033,-131.741721952143 23.0474056324647,-131.10608532688 23.1560511810183,-131.485026135535 23.0314137476366,-131.165070695781 22.9943445995444,-131.83245134886 22.9853122263307,-131.852254753399 22.9747317298289,-131.849337349987 22.9644572893311,-131.225488091021 22.5318091886484,-131.242577842557 22.352795839966,-131.55275685011 22.5718088449915,-131.647703576486 22.5563081819962,-131.747678494724 22.5603724908916,-131.882386449272 22.9044810330912,-131.690197063406 22.1644576960174,-131.884936679593 22.2809325722752,-132.007711320373 22.460060297639,-132.036930153457 22.4112997039708,-132.156892619978 22.176416426918,-132.171439850471 22.3008890080084,-132.313598815732 22.3432749442788,-132.308411390448 22.449185082549,-132.463107169417 22.5405619126376,-132.358811211877 22.7617456766078,-132.548578426028 22.8132833449045,-132.694979701429 22.8642733379077,-132.505019613025 23.0127130912049,-132.431903430534 23.0154243387671,-132.196925735963 23.0294993133369,-132.236628185704 23.056898447568,-131.927297760783 23.0083403953766,-131.929100059629 23.0134929694889,-132.437482063554 23.3628042209974,-132.226515490289 23.330121024952,-132.366398693627 23.5672503236567,-132.32376698818 23.6644418607941,-132.077146796831 23.445712485694,-132.105827745514 23.7516079623104,-131.956403800632 23.4809168742425,-131.860150040081 23.5633725406661))
19996|POLYGON((-80.4439359380876 -32.4750056211706,-80.3703402524092 -32.2969132739108,-80.2448182756676 -32.1029796451975,-80.3010411627098 -32.2373159500865,-80.2199230060415 -32.0855757462216,-80.2113309852314 -32.209216336563,-80.3202390160342 -32.38666406443,-80.4038252832527 -32.5233984246823,-80.3394648895569 -32.5003321108089,-80.4337055469702 -32.5633910371715,-80.3743790669624 -32.5432533062393,-79.6259212898504 -32.3803743859025,-80.3819729929023 -32.5636643082352,-80.2615043424878 -32.5522515618291,-79.7587863051068 -32.6324553968896,-79.7611069640724 -32.6989480394624,-79.9044990757684 -32.7226005020471,-79.6472060161287 -33.0261546063376,-79.7168598737276 -33.0909184685536,-79.7501922948864 -33.0937590577042,-80.1699498395997 -32.8572224295262,-80.1695868159488 -32.915111377556,-80.1939335758469 -33.0196131395312,-80.3039148657757 -32.9730960274556,-80.276961338778 -33.391844035023,-80.4377879253925 -33.0302771019532,-80.6096561462995 -33.5044345263161,-80.6236133780833 -33.5108548028092,-80.5360584476104 -32.7833539372532,-80.6062814273672 -32.9389486631664,-80.5132688498192 -32.6816619062156,-80.907415578081 -33.1292000003981,-80.7109076736356 -32.7677670812766,-81.1933290026287 -33.0003175590137,-80.754410066535 -32.7152861278405,-81.1397753928877 -32.7271922299906,-81.1376455525411 -32.5716391233178,-80.466893573238 -32.5677510595692,-80.5608493135747 -32.5423754802683,-80.7647624060391 -32.4131171361927,-80.5330848960781 -32.5301087570611,-80.5737717564784 -32.4958911296588,-80.6921562969847 -32.370369470856,-80.6292245702173 -32.3716502229925,-80.4684667836265 -32.5500966021175,-80.5495664840944 -32.4315745770225,-80.8067422385994 -31.71965269221,-80.7425648441352 -31.7907999676847,-80.5466187607077 -31.8792338034533,-80.4961826771429 -31.6241664315029,-80.4439359380876 -32.4750056211706))
20000|POLYGON((-173.713508126727 -12.2246905892336,-173.659844144757 -12.1660225461021,-173.322562498826 -11.536141608,-173.229444785847 -11.5733734975006,-173.165675878969 -11.8408491967088,-173.058830383679 -11.8556354857256,-173.338555984422 -12.1151007730597,-173.402414997206 -12.1690227752427,-172.922332465268 -12.0002943694634,-173.187373914003 -12.1308775183385,-172.903390951865 -12.1743989714572,-173.341333117475 -12.3417396001607,-173.340466485077 -12.4172831625265,-172.835618941495 -12.5397472912386,-172.891082290844 -12.7184579650907,-173.713049202896 -12.3935463858406,-173.561806121302 -12.4885778631113,-173.106730154884 -12.798290074887,-173.017390151994 -12.9766680594772,-173.305407851386 -12.8494352150877,-173.52309106076 -12.751826920123,-173.411570082365 -13.0962671320834,-173.592832195727 -12.6994623910091,-173.56678371486 -13.0735871573084,-173.692337775975 -12.7250192392652,-173.778933486808 -13.328302641819,-173.761619533641 -12.9108402242267,-173.75616342922 -12.6981863450834,-173.877386577784 -12.8960581122417,-174.071582222127 -13.0281157252504,-174.033911543987 -12.8583298793839,-174.219775991943 -12.9658304578404,-174.183810514964 -12.8699691724495,-174.189911880707 -12.8563027332519,-174.002517971148 -12.6568963622345,-173.85876089486 -12.4831470889516,-173.75988911498 -12.4137880518945,-174.100770046757 -12.5041896625654,-173.859896519556 -12.4065066436847,-173.975453841825 -12.3657004329448,-174.141209919784 -12.2774791286572,-174.609502602984 -12.1192393328349,-174.400435831908 -12.1702378510787,-174.350054069752 -12.0359005718006,-174.208156868436 -11.9663184462782,-173.729020770956 -12.3760522318643,-173.763371903202 -12.3202747543851,-174.118251387984 -11.5727717594,-173.756387533099 -12.2847828288,-173.875217508669 -11.4777500599324,-173.713508126727 -12.2246905892336))
20001|POLYGON((-24.9953603852402 -37.0830281630453,-24.8531589454355 -37.122823605162,-24.8401188022256 -37.4330438675315,-24.7003103759007 -37.2288069397096,-24.3989621182383 -37.0663012405506,-24.7620246753341 -37.5444667221287,-24.9232464394723 -37.6888763838599,-24.3556160875551 -37.3779345780387,-24.9062695208233 -37.7128569897281,-24.9180088046386 -37.7328651242992,-24.988271168135 -37.7578238446382,-24.8899455825523 -37.7646245073537,-24.1192390513998 -37.9099455982281,-24.8718019160301 -37.7889550507971,-24.1507461105973 -37.9573493427495,-24.9545889039961 -37.782459146828,-24.7247576971493 -37.8956905019276,-24.3338571086787 -38.169738492493,-24.912722396915 -37.8522621537515,-24.6138137680522 -38.1835537417068,-24.6140116780758 -38.3801728323699,-24.955113685946 -37.8631835104237,-24.8323681098941 -38.0708745847905,-24.7060092959022 -38.5066836362374,-24.9521213667927 -37.9407715663541,-24.9208824275514 -38.5176415434635,-25.0726645084454 -38.5985523475911,-25.177732744662 -38.2552960975234,-25.2318919791628 -38.3972930981082,-25.3466384258978 -38.5413368197903,-25.1225336603441 -37.9571897516362,-25.2322202362178 -38.0692399941881,-25.5588814851752 -38.3540883180664,-25.6000346059938 -38.2325762352506,-25.1429096902664 -37.8352400267314,-25.2932672611059 -37.8985544995952,-25.585586165021 -37.9393666327029,-25.5531761686354 -37.8435582781299,-25.8238233390368 -37.7291126378085,-25.9036827299141 -37.5434038094152,-25.1351363207347 -37.7191278313623,-25.7808262163734 -37.3497319511085,-25.750199535436 -37.179433110402,-25.4644537166466 -37.371634679479,-25.6205375983459 -37.0043278142525,-25.0709089937772 -37.6949074222577,-25.1578698341039 -37.5218361537591,-25.2301512078911 -37.1711387465603,-25.2498273017258 -36.8863804610863,-25.0470777574892 -37.1738644815594,-24.9953603852402 -37.0830281630453))
