id|wkt
1|POINT(-18.019349568149 -135.423339934346)
2|POINT(-81.8848301170454 157.66421043125)
3|POINT(26.8126477499562 -48.9771395826028)
4|POINT(-12.4139350932931 -58.5180066620691)
5|POINT(-59.2194550154428 97.0125921598861)
6|POINT(25.3182558093197 76.0477756906513)
7|POINT(-49.3289583576443 -27.3922665696762)
8|POINT(-71.6178672155858 157.080696944443)
9|POINT(-45.2401137075812 138.368581790898)
10|POINT(-45.4753229261383 -154.249249924193)
11|POINT(-13.9238453162533 -88.9959070412056)
12|POINT(14.86908178464 -12.5756279316519)
13|POINT(-56.2723358318279 30.604900016595)
14|POINT(-6.0823735840399 -177.729985376032)
15|POINT(46.7725259926175 -161.526366251798)
16|POINT(9.38697322562994 -128.578785598006)
17|POINT(10.8698991585263 -60.5585150885514)
18|POINT(42.9906401124742 -27.2755754797564)
19|POINT(-21.4688404293053 -68.676470419191)
20|POINT(-69.2967802448945 95.0404278899319)
21|POINT(17.5998423627747 -136.580358327837)
22|POINT(-52.9198854235558 -147.214409299543)
23|POINT(77.0562598423789 -102.060595103698)
24|POINT(-65.7872020518895 -93.3184064795043)
25|POINT(-14.1254513049912 160.769872178909)
26|POINT(29.7830501591624 36.9436605384803)
27|POINT(-49.9775358270585 104.590866531987)
28|POINT(-0.087090700365948 -43.5832430715809)
29|POINT(-40.5835777772503 -122.924664034751)
30|POINT(-32.8746213990753 -130.869197303837)
31|POINT(24.4174991232928 -25.4813712142743)
32|POINT(19.3318991823204 -49.3212788633898)
33|POINT(-1.96776153519316 117.072007049878)
34|POINT(-73.4936131742223 117.639163713985)
35|POINT(42.1815934491349 131.788827504761)
36|POINT(73.3148995895797 151.508093265212)
37|POINT(-54.8989452188217 5.5281535833052)
38|POINT(20.7299060255712 86.4341264205561)
39|POINT(62.0763871023127 -161.37331859646)
40|POINT(11.4163177344115 -121.739303463926)
41|POINT(77.3063262378046 164.997329762606)
42|POINT(-37.1569087713693 34.3777627390895)
43|POINT(33.7824817421734 -66.5817786863295)
44|POINT(-59.3780511757459 49.7160214007582)
45|POINT(-22.1835494210116 142.340631967361)
46|POINT(11.0387727983612 24.5414359689718)
47|POINT(-68.5838154852507 -83.7046294308732)
48|POINT(86.2211475821706 -84.1835478797972)
49|POINT(-10.6281278097074 -158.734466430088)
50|POINT(-75.462482442905 87.7005701205562)
51|POINT(-32.0275968924249 -69.803777770162)
52|POINT(-39.1278506653132 -49.1939323758228)
53|POINT(42.1157811847301 44.7301753730613)
54|POINT(11.1506934804964 -162.731333618697)
55|POINT(-0.357943662048044 -92.4810786532214)
56|POINT(-10.748712263409 -106.673122021359)
57|POINT(-27.4906500049442 58.9135511283365)
58|POINT(75.1359881578355 97.3417092913937)
59|POINT(-50.4812292175279 15.9641229716885)
60|POINT(5.14951245300971 -115.930579710858)
61|POINT(-5.69864389502378 -140.446409912053)
62|POINT(29.9919874634434 -138.811832293059)
63|POINT(-66.0989597943847 141.887559114547)
64|POINT(45.4772663690707 127.863700368371)
65|POINT(-89.7240541979138 -8.19329895644444)
66|POINT(64.9985771346621 24.4338581289239)
67|POINT(21.2124307952298 -64.539189648076)
68|POINT(11.361438147467 174.635528996006)
69|POINT(64.3812000853476 -133.616095195006)
70|POINT(-33.4049137984 -84.6449995240326)
71|POINT(-26.4961785372889 149.164940289339)
72|POINT(70.3657622042336 92.4423640989633)
73|POINT(87.8450701099209 -112.429755427959)
74|POINT(16.0982474640081 154.106858879098)
75|POINT(-6.43192528430966 -90.3817864192547)
76|POINT(-84.1613055769503 -24.1581673198161)
77|POINT(10.0141558021634 -77.1642738476038)
78|POINT(-86.2027935394139 -26.6205774234052)
