id|wkt
17|POLYGON((-112.558417120545 13.5729306488026,-113.103642017556 12.4016303874866,-113.24374341955 13.1406236063875,-113.488839012663 14.0731855311429,-112.558417120545 13.5729306488026))
22|POLYGON((-57.3051030452856 8.58409545373426,-56.7623935892809 8.11410001810613,-57.4632118097297 7.60697668547748,-57.6199046747107 7.97302602739654,-57.3051030452856 8.58409545373426))
23|POLYGON((80.9452037018275 28.300440520212,80.5974862431338 27.3853258773689,80.182377927779 26.8671402740911,79.8754139083536 28.0205238425494,80.9452037018275 28.300440520212))
26|POLYGON((-19.37836373964 9.46022673272302,-19.2840333643047 8.40251223713373,-20.7684498028434 8.60286496913865,-20.1367072434821 9.28536966188697,-19.37836373964 9.46022673272302))
38|POLYGON((-170.869675839462 -18.108459179936,-171.01835510177 -18.5343107582046,-171.668294089758 -18.3837415012225,-171.152129473628 -18.1067592218694,-170.869675839462 -18.108459179936))
50|POLYGON((133.400796452965 -63.4096817152798,133.653385828823 -64.1304633702683,133.14962703638 -64.3039244709131,132.671459116421 -64.0324050558891,133.400796452965 -63.4096817152798))
53|POLYGON((-158.448489467472 14.6326191131686,-158.690298551765 14.178185135895,-159.167765488848 13.837969342639,-159.397266211008 14.7286560113184,-158.448489467472 14.6326191131686))
54|POLYGON((39.6329525002463 22.9475946851759,39.7778043063758 22.7249703823692,39.4955974700251 22.7541644958405,39.5254433638752 22.8714204470215,39.6329525002463 22.9475946851759))
57|POLYGON((-118.351336325028 -47.6069764438633,-118.734120777975 -48.4121175656235,-119.523948034752 -48.5577863714691,-119.085466479401 -47.8917262579286,-118.351336325028 -47.6069764438633))
63|POLYGON((-54.0697964790514 -3.57687006834542,-54.6540619557842 -4.31743331697821,-54.8745669840156 -4.87668515831034,-54.9967388108658 -4.11029082375754,-54.0697964790514 -3.57687006834542))
92|POLYGON((-107.87137302067 13.2598432753071,-108.052759917372 12.4614014280071,-108.558277359225 12.3346712748243,-108.713266144895 12.7869437611128,-107.87137302067 13.2598432753071))
94|POLYGON((-132.121757756771 3.05562887341488,-131.944254257975 2.30904652981173,-132.536951060968 2.20665422394466,-132.663488271083 2.78391139642693,-132.121757756771 3.05562887341488))
99|POLYGON((-143.93517115952 68.031039922948,-143.21120776973 67.5227027607068,-144.413474096418 67.3167358724631,-144.666649476447 68.4780343010851,-143.93517115952 68.031039922948))
102|POLYGON((121.827044669361 -34.375948853974,122.387707518938 -35.2201909357466,121.446618518725 -34.766628131319,121.474796631554 -34.6010545654422,121.827044669361 -34.375948853974))
120|POLYGON((75.3004051162872 -33.5680175135669,75.3648477922505 -33.9159354883862,74.7509489921803 -34.4515012912135,74.6860795462057 -33.0563411942644,75.3004051162872 -33.5680175135669))
128|POLYGON((144.08394959877 -36.8367786007932,144.281273961949 -37.1119994077821,143.690582627292 -37.31906444839,143.30751228691 -36.7326081915876,144.08394959877 -36.8367786007932))
132|POLYGON((103.919632811539 -48.7793607004252,103.929192464512 -48.7939313608008,103.862067492253 -48.8695473979835,103.677210469645 -48.8791526013605,103.919632811539 -48.7793607004252))
134|POLYGON((158.4845134265 -39.8559061480699,158.461294134178 -40.9141264013452,158.067394905505 -39.9631388154246,157.365469954438 -39.6649374182921,158.4845134265 -39.8559061480699))
137|POLYGON((69.994752978172 -64.0033487998427,70.1530082703334 -64.6128844429683,69.2058804761786 -64.5394148580158,69.5431959099867 -63.7363725541637,69.994752978172 -64.0033487998427))
141|POLYGON((44.3592324142602 -14.7939127954961,44.0357701684779 -15.359492270882,43.8398279924663 -15.2844481807578,43.4501403302155 -14.3732860300532,44.3592324142602 -14.7939127954961))
142|POLYGON((-98.0639669288383 24.2417418923849,-97.644981225783 23.3859311231994,-98.5699689137166 23.4349208391232,-98.5751858534093 24.402037935697,-98.0639669288383 24.2417418923849))
152|POLYGON((112.333868393853 -30.0059127587777,112.537081697933 -30.6532674912965,112.006355983424 -30.1787626596014,111.769825984112 -29.941005303689,112.333868393853 -30.0059127587777))
214|POLYGON((-144.887732008371 -30.669270199692,-145.228212467172 -31.2517091959081,-145.365558022367 -30.9322374541865,-145.637578902512 -30.0057068223801,-144.887732008371 -30.669270199692))
218|POLYGON((76.8879983912801 -67.851800304129,76.9034277270913 -68.5595648735756,75.956606240783 -68.4518091624402,76.0633561235746 -67.9562037162326,76.8879983912801 -67.851800304129))
225|POLYGON((130.2105565882 49.8303079177623,130.418190929471 48.8433677997133,130.128519224942 49.2456542506084,129.794103235678 49.7130625534324,130.2105565882 49.8303079177623))
228|POLYGON((-157.754115939807 -52.4199033838503,-158.222125689989 -53.0871629153901,-159.062512914897 -53.4504443624475,-158.824198029553 -52.767238667262,-157.754115939807 -52.4199033838503))
241|POLYGON((-22.2318428532103 -43.7466735613007,-22.0715224170695 -43.9519526690917,-22.602679651287 -44.6073570855937,-23.0304065268398 -43.2441098444934,-22.2318428532103 -43.7466735613007))
246|POLYGON((-175.882043873339 -16.4376301583836,-175.457406927529 -17.5637460660267,-176.429433336002 -17.3165331184403,-176.464510520839 -16.4502195694295,-175.882043873339 -16.4376301583836))
254|POLYGON((79.2143463157092 -13.6889566654069,78.9324956063823 -14.8755168318566,78.3906226166599 -14.5458502626204,78.239670639348 -13.732241479066,79.2143463157092 -13.6889566654069))
255|POLYGON((138.751609956118 21.5045851794929,138.665411550427 21.2467823500898,138.424076220526 21.0277144608609,137.984429734964 21.8976513641859,138.751609956118 21.5045851794929))
263|POLYGON((140.897107078171 -19.2077727168946,140.998822681527 -19.8110457490793,140.574997077472 -19.8505382458603,139.990278989967 -18.9012834085306,140.897107078171 -19.2077727168946))
266|POLYGON((-137.823833612077 14.7171920740985,-138.024393890973 13.9877181415996,-138.406418681778 14.0554311732358,-139.179188712501 14.2581616971026,-137.823833612077 14.7171920740985))
267|POLYGON((-76.7112042700869 -14.3705165823995,-77.0039426455078 -14.9967358061402,-77.157864945964 -15.0971227691097,-77.7005485361021 -15.0572731608672,-76.7112042700869 -14.3705165823995))
280|POLYGON((-61.662099721516 -5.2928627513572,-61.1559348403314 -6.74262108669432,-62.0627001084909 -6.35304799412931,-62.3285251387802 -6.11625841230021,-61.662099721516 -5.2928627513572))
283|POLYGON((92.0649317925179 69.7181568990876,92.5317033490163 68.9022948974134,91.6733781392232 68.735763256208,90.8880969641142 68.9056661177495,92.0649317925179 69.7181568990876))
313|POLYGON((156.224189690021 -48.1447277109319,155.866972938929 -48.8950111372997,155.709492099395 -49.3208918124924,155.5914253995 -48.8345743558211,156.224189690021 -48.1447277109319))
323|POLYGON((-92.3260806361425 5.87720227170072,-92.9536126140013 5.27985877271239,-93.7207969020799 5.26637294455587,-93.0028883979377 5.45717333286373,-92.3260806361425 5.87720227170072))
332|POLYGON((10.1255510498907 -23.4798598558489,10.2242078088597 -24.2720954053317,9.84796955191139 -24.7797327147377,9.28855336306793 -24.0245793876454,10.1255510498907 -23.4798598558489))
367|POLYGON((12.226982450566 -24.3501499574885,12.4486147774774 -24.8792656648534,11.4832508339895 -24.7638960969077,12.1198892852548 -23.9225321604245,12.226982450566 -24.3501499574885))
371|POLYGON((-38.4753145285028 1.32203935366333,-38.915309241339 1.01136093486782,-39.0370424634065 0.949498866509749,-38.9585548477542 1.11583437224359,-38.4753145285028 1.32203935366333))
374|POLYGON((112.622592793119 -4.19560317123842,113.106035065272 -4.52635459495594,112.253804267877 -5.61163498623731,112.067592456273 -4.52031184589437,112.622592793119 -4.19560317123842))
378|POLYGON((134.891985395577 -53.1839521365177,135.491908915606 -53.06846437021,134.758425519179 -53.403993769107,134.103934657348 -53.2093637578113,134.891985395577 -53.1839521365177))
390|POLYGON((10.9819491458694 16.3265515329038,11.089164279351 15.3596682065274,10.4989199380825 15.708257815234,10.8291007829863 16.226268737952,10.9819491458694 16.3265515329038))
406|POLYGON((37.5200513184791 -28.0309175835119,37.6571617189576 -29.226496046627,36.7376446223366 -28.5771137921041,36.9905071610123 -28.1577325625216,37.5200513184791 -28.0309175835119))
416|POLYGON((108.129493295632 58.4821008683155,108.265397857043 57.416350691532,107.787909434342 56.8435487894612,107.083392451987 57.8127770851082,108.129493295632 58.4821008683155))
429|POLYGON((154.602005472454 26.9854774674162,154.653579400964 26.4733824526117,154.504298828026 26.1643987290725,153.807700752544 27.0143656072209,154.602005472454 26.9854774674162))
434|POLYGON((-112.436542088829 -18.5470241013641,-112.18325167675 -19.1680852390669,-112.193326819317 -19.8378692637942,-113.480609101866 -19.7420476663883,-112.436542088829 -18.5470241013641))
438|POLYGON((-105.505170308589 -26.6546756360787,-105.438084240425 -27.6050288000394,-105.996359382674 -27.5827678562942,-106.394037696426 -27.2665644588632,-105.505170308589 -26.6546756360787))
465|POLYGON((-55.9092852338049 35.6915958850239,-56.0069777328992 34.7518995044305,-56.8551821704148 35.0915479936656,-56.5494454120386 35.7006168960646,-55.9092852338049 35.6915958850239))
472|POLYGON((72.8953255209264 29.6687530560983,72.9556348412273 29.622946981181,72.7417970448564 28.6602786418998,72.1863510327799 29.9943869222364,72.8953255209264 29.6687530560983))
473|POLYGON((-34.0855125017881 46.7296056739262,-34.0723370568777 45.8508192408617,-34.7837023542324 45.5725457689537,-35.1162291608922 46.7936169245931,-34.0855125017881 46.7296056739262))
480|POLYGON((20.8095639050893 19.0654975665458,20.8601021321521 18.140789038875,20.1296683748619 18.0983807036775,20.0595777440509 19.2602026322369,20.8095639050893 19.0654975665458))
487|POLYGON((-21.8688133929447 3.73079065980325,-22.0031158324672 2.51412453217976,-22.4619933600439 2.87408751838503,-22.4417159250016 3.14006302261782,-21.8688133929447 3.73079065980325))
506|POLYGON((-160.576218719048 28.4667882672565,-160.612224525982 27.4194306009789,-161.241062099365 27.4849455654057,-161.0902879562 27.7794476247175,-160.576218719048 28.4667882672565))
508|POLYGON((-142.813952489408 30.0936543614033,-142.871512821268 29.3597966483778,-143.671495846763 29.7174187165745,-143.250691432362 30.8090902127433,-142.813952489408 30.0936543614033))
531|POLYGON((-146.174478798742 -27.5691120697289,-146.372556394916 -28.2159363844349,-146.464596421069 -28.5679942302732,-146.63844565745 -28.0467113666126,-146.174478798742 -27.5691120697289))
537|POLYGON((132.562467068675 -53.7940643079172,132.676751476883 -54.9301383042062,131.938587434179 -55.6267207767264,131.656193643679 -54.9048396216169,132.562467068675 -53.7940643079172))
545|POLYGON((-171.639399809309 43.8009872740844,-171.549434026996 43.1253855230626,-172.49173697793 43.4748467099134,-171.917318639293 44.0598691995612,-171.639399809309 43.8009872740844))
548|POLYGON((159.860469233361 58.5362171611483,159.335323343057 57.7446017179336,159.21828535842 57.9110882656525,158.854510252536 58.2235596154703,159.860469233361 58.5362171611483))
555|POLYGON((178.576666706132 57.9996343302415,178.25796038844 57.7075682278537,178.210784786817 57.1956761962811,178.086819309115 57.71511628936,178.576666706132 57.9996343302415))
559|POLYGON((168.35194604664 -18.7910687928351,168.027759216379 -19.7231381624773,167.492702600074 -19.7700498017958,167.094416408423 -19.0465271314879,168.35194604664 -18.7910687928351))
569|POLYGON((134.577138429477 -39.9480775808491,134.344073660862 -41.3558360202487,134.067576401657 -41.5381601053904,133.159832702775 -40.3862546130806,134.577138429477 -39.9480775808491))
573|POLYGON((-62.6545012152566 50.4872321553639,-62.0164262742344 50.7071299246418,-62.6631803095773 49.9047635314167,-63.6366440138986 50.4926005634148,-62.6545012152566 50.4872321553639))
575|POLYGON((-97.8429806814912 -15.5052407013165,-97.7355612514795 -16.5446068896907,-98.1091992265968 -17.2474397614155,-98.2013941908125 -16.3003032493072,-97.8429806814912 -15.5052407013165))
580|POLYGON((-7.93609792444039 -10.7691878593594,-7.78265375177147 -11.5464269187019,-8.03592802638585 -10.9500695801293,-8.21451479754097 -10.6589729338072,-7.93609792444039 -10.7691878593594))
