id|wkt
30278|POLYGON((-2.48046190513127 41.8344273142231,-2.55782282126673 41.470201091378,-2.80954941589743 40.7008113232683,-3.64301775907428 41.7963968850075,-2.48046190513127 41.8344273142231))
30282|POLYGON((165.709492921528 43.9813372898574,166.118518488483 43.8904179679982,165.314148190073 43.3277899289902,165.253563235336 43.9152759415845,165.709492921528 43.9813372898574))
30295|POLYGON((31.1502552674591 -51.4655760479388,30.7517871054351 -51.7772453298241,29.9603469607041 -52.3316553762027,30.4501731177731 -51.3622633772509,31.1502552674591 -51.4655760479388))
30313|POLYGON((-53.6944759279515 10.6214071441709,-53.9475172201378 10.329819631368,-54.1068855066375 10.193472372089,-54.4480104714924 10.8125395770508,-53.6944759279515 10.6214071441709))
30324|POLYGON((-62.400163193907 -11.9899415973102,-62.9158926126201 -12.6963910703028,-62.9248415588498 -12.7194186325689,-63.6268564661145 -12.988168438034,-62.400163193907 -11.9899415973102))
30333|POLYGON((41.6832357227635 -45.6237882596439,41.7375575599109 -46.6844187681796,41.1294635546969 -46.6078110393189,40.7168397183418 -46.1273539701344,41.6832357227635 -45.6237882596439))
30336|POLYGON((121.302545173035 28.9631924394501,120.991741665919 28.435279792892,120.795873533808 28.0751708016307,120.553365216109 28.8077271265178,121.302545173035 28.9631924394501))
30338|POLYGON((-93.9327015520182 0.006886736383701,-94.0683591988441 -0.844499247284723,-94.6316517942119 -0.800732345250645,-94.932718303816 -0.505354032196955,-93.9327015520182 0.006886736383701))
30353|POLYGON((58.0547326457583 -11.1720182912172,58.2147072517248 -11.7529488056,57.3502029070619 -11.8344596005818,56.6392620668957 -11.2842619667774,58.0547326457583 -11.1720182912172))
30356|POLYGON((21.6118141715719 -42.6856280065061,21.4125462812506 -43.5526022103364,20.6645504553946 -42.7085590155839,20.6294114889176 -42.2303846059671,21.6118141715719 -42.6856280065061))
30358|POLYGON((63.0150055391195 -2.56120118854743,62.4162187476092 -3.36526033650605,62.1749004682165 -3.7734981288855,62.0735464772384 -2.84795438003258,63.0150055391195 -2.56120118854743))
30375|POLYGON((-42.4247026503917 36.4982798640176,-42.0411005567845 35.6531229297789,-42.9348130169907 34.853929093333,-42.7120682740767 35.7908880458025,-42.4247026503917 36.4982798640176))
30376|POLYGON((132.208625100175 -6.00174578171982,131.930920879973 -7.46192445673531,131.068004333839 -7.31217958007944,131.025247377676 -6.80736169634606,132.208625100175 -6.00174578171982))
30383|POLYGON((-176.126297890391 -33.1345933347437,-175.734923244094 -33.8201765696256,-176.145302019966 -33.4114548734224,-177.141560923255 -33.4422614764201,-176.126297890391 -33.1345933347437))
30393|POLYGON((158.706038479271 68.5874728725234,159.174004953823 67.9924650332062,158.548439505969 67.5281866979391,158.287552955126 68.2472907494582,158.706038479271 68.5874728725234))
30398|POLYGON((-70.1029045532575 24.4070507840756,-69.6204858983731 23.5804415202404,-70.2092803021833 24.3126581939731,-70.1813676257109 24.3528300109651,-70.1029045532575 24.4070507840756))
30403|POLYGON((62.7772332290949 -15.6972848167502,62.4547688303179 -16.5086261704938,61.8685785847006 -16.2100959375222,61.3576676618364 -16.2534410013028,62.7772332290949 -15.6972848167502))
30411|POLYGON((151.053565347581 34.5345703466252,151.303363383132 34.2070214203634,150.898918798708 34.1933224337043,150.287349133249 34.9115054878926,151.053565347581 34.5345703466252))
30434|POLYGON((-117.099439084651 22.994055036406,-116.836960806259 22.646153963384,-117.479001514379 22.8298178561343,-117.238084748756 23.0445558405946,-117.099439084651 22.994055036406))
30439|POLYGON((145.26113219255 15.2439264298552,145.490654411334 14.0606945226342,144.245806584593 14.1559059055788,144.057758412777 15.0594352523419,145.26113219255 15.2439264298552))
30448|POLYGON((-44.7729165783162 22.5886875098943,-44.9978887403184 22.2628524117979,-45.531076007094 21.8840130760687,-45.9755384736164 22.0455867956736,-44.7729165783162 22.5886875098943))
30466|POLYGON((-56.1064831179657 28.2998732875533,-56.5757703667698 27.6079052606965,-56.8181650267498 27.7157452428485,-57.2982887736729 27.8137749561055,-56.1064831179657 28.2998732875533))
30469|POLYGON((145.834822157555 36.4734218588799,146.375898519489 36.4789590952015,145.606168115807 35.3882960005998,145.074455767584 36.153342269056,145.834822157555 36.4734218588799))
30474|POLYGON((-26.9871234416228 20.4180118262823,-27.118857182094 19.8286355720615,-27.0909048769386 19.3436929407747,-27.8469554209809 20.3160228683475,-26.9871234416228 20.4180118262823))
30487|POLYGON((55.7984073730284 13.9245456686026,56.085897691712 13.8743819706244,55.6910647292613 13.3211322287904,55.320664335706 13.9278705100232,55.7984073730284 13.9245456686026))
30489|POLYGON((-116.125709869418 -59.7308462188967,-116.267082997817 -60.2995184880394,-117.165280314966 -60.42487734559,-116.433572987101 -59.6317435452168,-116.125709869418 -59.7308462188967))
30490|POLYGON((-124.956270705434 -49.6594385038705,-125.57618535917 -50.5339712383513,-126.418652001499 -50.7383244372545,-125.878082898836 -49.7105679856128,-124.956270705434 -49.6594385038705))
30493|POLYGON((-137.22238414832 47.7647597923243,-137.15190882224 47.439690122019,-137.488527929203 47.6268856758818,-137.277329027666 48.2597325045177,-137.22238414832 47.7647597923243))
30501|POLYGON((-54.8549701722787 39.6824278621698,-54.3724981052968 40.0112316298549,-54.8135934722785 39.2800684950303,-55.5235584089011 39.4757800398216,-54.8549701722787 39.6824278621698))
30510|POLYGON((-102.569219108958 64.8609464816238,-102.28621363357 64.3340170217733,-102.68685433871 63.8776594215398,-103.40876734778 64.518038984707,-102.569219108958 64.8609464816238))
30512|POLYGON((-96.5269538882419 65.6492104094727,-96.3840127657047 65.1567905033102,-96.6055441057668 64.6548171290743,-97.5984599106526 64.8628564433959,-96.5269538882419 65.6492104094727))
30538|POLYGON((141.409131727034 -26.4910892074604,141.459297812951 -26.6113617927011,141.133670004451 -27.2590131836956,141.122380496696 -26.6664223726366,141.409131727034 -26.4910892074604))
30543|POLYGON((-64.7117874775648 66.2782850880927,-64.6579758802053 66.0964984688093,-65.2968863386792 65.4294078979985,-65.2730267872635 66.5448709544305,-64.7117874775648 66.2782850880927))
30544|POLYGON((81.6603633346397 -37.2434857597974,82.4419246445444 -37.4225806986819,81.5190616871503 -37.4767865071621,81.2191204740219 -37.2933856497004,81.6603633346397 -37.2434857597974))
30556|POLYGON((172.447079389672 37.5533475610957,172.292030922222 37.0333073115466,171.648041964705 37.0257868428778,172.166030701578 37.4003389300073,172.447079389672 37.5533475610957))
30589|POLYGON((144.774751382661 67.0820754718859,145.214413799759 65.7487823433296,144.524565649441 66.0195243683238,144.200760300574 66.6601782911592,144.774751382661 67.0820754718859))
30616|POLYGON((-34.6563430251854 10.2247704445572,-34.6237767135584 9.28904494069702,-34.9152193476801 8.9788968211725,-35.2468670034578 9.62982509268429,-34.6563430251854 10.2247704445572))
30627|POLYGON((40.7848184323846 -9.69583936140866,40.5988137899825 -10.0067031265512,40.7278497565903 -10.4192809386573,40.2814973363043 -9.95399429328727,40.7848184323846 -9.69583936140866))
30637|POLYGON((71.2027857181556 -45.9154546331334,71.6366356287678 -47.1320075223562,70.6703904960365 -46.6996538526134,70.9403411582413 -45.7729358423769,71.2027857181556 -45.9154546331334))
30638|POLYGON((34.6674405741947 12.835792226804,35.2524237442502 11.8475646541142,34.449158688671 12.0866070275908,34.3020796852911 12.3091588211604,34.6674405741947 12.835792226804))
30645|POLYGON((65.2017464991494 -44.8292222944265,65.4492156982507 -45.3558260128417,64.681170847086 -45.1889584552176,64.6458399678239 -45.0629548871495,65.2017464991494 -44.8292222944265))
30648|POLYGON((66.6570891494522 -45.2527657177804,66.1673437592436 -45.9936629252389,65.7605884806379 -46.0415537957714,65.9323532547497 -44.9063503463537,66.6570891494522 -45.2527657177804))
