id|wkt
4326|POLYGON((153.302237904698 -33.2127476364955,153.495822253093 -33.0349325714449,153.55000575725 -34.1857391811149,153.056622117662 -34.2287234515643,153.04431001257 -33.8838687199619,152.887029386161 -33.4316324511801,153.302237904698 -33.2127476364955))
4327|POLYGON((73.1609828740911 -37.9391742152391,73.3600712639101 -37.9881175302065,74.0002769202306 -38.3344708138295,73.0278568791377 -38.2045763061744,72.2913187075224 -38.4570730886003,73.095844137054 -37.5584093794978,73.1609828740911 -37.9391742152391))
4328|POLYGON((100.560553878041 63.9313545403653,100.460649176101 63.4994088877995,100.48937990461 63.4650157982286,100.087503833819 63.2554961145181,99.9507585829593 62.5734296436557,99.6781603525369 62.4519403018478,99.4173886805711 63.5494454037233,100.560553878041 63.9313545403653))
4329|POLYGON((87.2811993851092 -32.5247208151764,87.3076066777982 -33.3177258136908,86.8401575827178 -33.424835759927,86.6955621717558 -32.915603668162,86.1914262718302 -32.7055073765678,87.2811993851092 -32.5247208151764))
4330|POLYGON((-73.6857206040471 -32.6763569759382,-74.1264832226776 -33.5804510794774,-74.3898491877564 -34.171206223911,-74.784273957044 -33.5425419574214,-74.542324952521 -33.32468334624,-74.3814595096586 -33.3260985255627,-73.6857206040471 -32.6763569759382))
4331|POLYGON((101.469368338388 -22.4727662098017,101.717260074356 -22.8121995484765,101.140003122734 -23.574817036399,100.691194714103 -22.7089035250651,100.487487151841 -22.0213989886842,101.469368338388 -22.4727662098017))
4332|POLYGON((-139.996021066031 -19.9056779033852,-140.200291856232 -20.3921342894411,-139.727715711328 -20.8831726513751,-139.818695586262 -21.2835874383454,-140.609373850374 -20.9212977970756,-140.410544572995 -20.4831253246483,-140.424590424918 -20.0276865846433,-139.996021066031 -19.9056779033852))
4333|POLYGON((5.48002701445026 -1.36303865134652,5.22710934551468 -2.29031823363536,4.78975288459602 -2.1025222454951,4.72889677680107 -1.94674716387395,4.17497708394065 -1.71901899305364,5.48002701445026 -1.36303865134652))
4334|POLYGON((-102.941087197149 3.99998809421982,-103.018306296987 3.5341738188245,-103.154420883077 3.74309369944089,-103.402787547992 4.06996201893663,-103.187274495385 4.16795353223702,-102.941087197149 3.99998809421982))
4335|POLYGON((127.415868684124 64.7383714610732,127.689303477269 64.3360255797462,127.859388672967 64.0972146409261,127.423746228622 64.3071269960756,127.271604204888 64.3820936142251,127.444234904183 64.1497315152479,126.973029522337 64.3126568289769,127.220346571184 64.6116637422712,127.415868684124 64.7383714610732))
4336|POLYGON((79.7404341627135 -6.40359865302887,80.0310461508937 -6.89750688134147,80.0839616013845 -7.26584507782792,78.69935024044 -6.8492746308058,79.3267601514929 -5.97539655865869,79.7404341627135 -6.40359865302887))
4337|POLYGON((117.409965551407 -68.8039901346601,117.734704741626 -68.9191519352062,117.636192625122 -69.0552827710207,117.501394791009 -69.8016234639595,116.787501119006 -68.9651193516355,117.409965551407 -68.8039901346601))
4338|POLYGON((124.635388075364 53.884808876389,125.020009964146 53.7415716558431,125.41964916586 52.9484357668558,124.606180064076 52.9654785296229,124.233531727572 52.8214006547543,124.041488655825 53.7299142722624,124.527483872992 53.6976677749934,124.635388075364 53.884808876389))
4339|POLYGON((-140.698212333896 44.9671804746757,-140.230492138479 44.9761299540977,-139.996444238886 44.0532977582106,-140.7380694571 44.4028296854171,-140.808820790974 44.4573517261219,-140.898072187977 45.0230309582764,-140.698212333896 44.9671804746757))
4340|POLYGON((100.858663089722 15.4163134508135,100.947863772743 15.2303592877525,100.853572693578 14.5158779539713,101.69061601 14.8611157699738,101.000102637224 14.3994159182245,100.74768439985 14.3585157078887,100.506194032271 14.6634264079342,100.607513471394 15.227032365188,100.858663089722 15.4163134508135))
4341|POLYGON((-65.4102957273809 -68.5046181614365,-65.2871514848994 -69.2818949720273,-65.7558992100021 -69.0135697504106,-66.3620997606828 -69.4866089842385,-66.36160824442 -68.0714681397141,-65.4102957273809 -68.5046181614365))
4342|POLYGON((-144.41443193672 62.7767782470735,-143.92816121967 62.024241580624,-144.742548247538 62.2209871468031,-145.001058937133 61.8107438590557,-144.944992401039 62.2702325191122,-144.41443193672 62.7767782470735))
4343|POLYGON((-139.765584943029 -22.8457128718674,-139.5196953793 -22.9989210055641,-139.929905467564 -23.2146128194884,-140.507504255426 -23.372152717503,-140.130517934173 -22.8601662316634,-140.040113763088 -22.0453096534704,-139.765584943029 -22.8457128718674))
4344|POLYGON((119.725336571989 -29.4694287649559,120.134773480029 -30.0444880408013,119.005579570143 -30.4625630942194,119.496188107918 -29.5434614061703,119.725336571989 -29.4694287649559))
4345|POLYGON((-148.075498905982 -10.5322500779085,-147.484525970304 -10.8137177139756,-147.704249417532 -10.8352265316155,-147.882218990511 -10.8794262469209,-148.413046506438 -11.0282641045303,-148.594532961926 -11.5925422485766,-148.877042476039 -10.682607599184,-148.912475687658 -10.5431812591347,-148.075498905982 -10.5322500779085))
4346|POLYGON((-84.1906818912821 60.8013772277375,-84.1254678475283 60.7834790404593,-83.9830991201909 60.1766190526091,-84.1584186578193 60.0472040234981,-84.8042238479747 60.9183485108264,-84.2845469720956 60.9190531151162,-84.1906818912821 60.8013772277375))
4347|POLYGON((-130.59563078953 70.1793758530261,-130.35877371204 69.5883826440463,-129.781906545454 69.5854439292153,-130.513930072435 68.8472266255598,-130.774254451402 69.1171036920061,-130.807052140763 69.5013641074262,-130.59563078953 70.1793758530261))
4348|POLYGON((-158.368017524842 10.8951452659649,-158.478456691787 10.5010372856401,-158.830773284729 10.8697271703072,-158.84468897492 11.5209840462264,-158.368017524842 10.8951452659649))
4349|POLYGON((151.095209760248 43.9081332600357,151.232601551674 43.5917520775894,150.872980114642 42.9595505740948,151.049583915102 42.5811624215663,150.698163275921 42.7346523522375,150.596751997359 42.6475929089245,150.143890852715 43.7486162456955,151.095209760248 43.9081332600357))
4350|POLYGON((127.696467293645 -39.9671996350457,127.966503423022 -40.1789279604485,127.969408335524 -40.4483319939403,128.444200042764 -40.8396912745997,127.066755797489 -41.2640653398433,126.801548542737 -40.6092410480952,127.696467293645 -39.9671996350457))
4351|POLYGON((143.833519573594 7.89845041861838,143.83336353521 7.74404233094792,143.533194647577 7.53764782659683,143.041967956736 8.00646503654907,143.502300162826 8.03498224819964,143.833519573594 7.89845041861838))
4352|POLYGON((-6.51725390492509 -24.9433163357801,-6.73074719852842 -25.7536095904374,-7.46948544702122 -25.544978146532,-6.83731203435625 -25.0827084802288,-6.51725390492509 -24.9433163357801))
4353|POLYGON((-62.9734867889231 57.4256913070201,-62.9039170227288 57.3280460695092,-63.3619349462043 56.576087814019,-63.69555289457 57.6040352787059,-63.1555580476829 57.515865637038,-63.146727910976 57.7589374153865,-62.9734867889231 57.4256913070201))
4354|POLYGON((-99.8837293893926 -29.6380116757743,-100.292913868101 -29.9540782891898,-100.364262540301 -30.9542676974736,-100.79760255279 -31.0999194103489,-101.239914222942 -30.3423885528806,-101.404578039592 -30.339051125238,-101.064856889118 -29.535520787441,-99.8837293893926 -29.6380116757743))
4355|POLYGON((-82.415568355009 -39.4239256317126,-82.1073514428687 -39.9323812285978,-82.1294985893966 -39.9374817329889,-82.1873213667942 -39.972561024168,-82.4443371720505 -40.1225621286165,-83.1147905415862 -39.5230231724166,-83.0862960539311 -39.5160388593857,-82.415568355009 -39.4239256317126))
4356|POLYGON((-104.833719852939 7.48286153239409,-104.203367212076 7.5126863674395,-105.098662702048 6.9886332197597,-105.618950129298 6.8312558853267,-105.508177109766 7.46293813649131,-104.833719852939 7.48286153239409))
