id|wkt
1|POLYGON((63.9429083263304 11.1616557837426,62.7889190594425 10.0226182020596,61.8790252895648 10.9444557790915,63.0330145564527 12.0834933607746,63.9429083263304 11.1616557837426))
17|POLYGON((-126.236526179313 31.1044158009433,-127.20065937632 29.9243384102124,-128.532364033908 31.0123523651235,-127.568230836901 32.1924297558544,-126.236526179313 31.1044158009433))
18|POLYGON((-52.9710495767296 -119.900139450021,-54.4330099879547 -119.957838328781,-54.4936574168641 -118.421168258009,-53.031697005639 -118.363469379249,-52.9710495767296 -119.900139450021))
50|POLYGON((-131.843715604635 66.1386536440847,-131.888505063937 65.1291302992032,-133.42722550882 65.1973986132476,-133.382436049518 66.2069219581291,-131.843715604635 66.1386536440847))
53|POLYGON((40.9353985943273 20.1151870207792,40.268038913699 20.5179464812341,41.101842550608 21.8995327218296,41.7692022312362 21.4967732613747,40.9353985943273 20.1151870207792))
82|POLYGON((-107.220091300836 86.0180392248185,-108.546424648296 85.3157217558154,-108.914327956804 86.0105107198536,-107.587994609344 86.7128281888568,-107.220091300836 86.0180392248185))
105|POLYGON((-26.0426386829169 -69.1803693653317,-27.4393146051054 -69.5426891113213,-27.76087281033 -68.3031414250844,-26.3641968881416 -67.9408216790948,-26.0426386829169 -69.1803693653317))
112|POLYGON((3.02224307132086 -154.595548847285,2.03190675618895 -154.132224970084,2.46048106525223 -153.216164471407,3.45081738038414 -153.679488348608,3.02224307132086 -154.595548847285))
134|POLYGON((24.9489523318385 45.1927750010508,23.7676555555336 45.6215443464985,24.1979004490429 46.8069063858334,25.3791972253478 46.3781370403857,24.9489523318385 45.1927750010508))
141|POLYGON((47.5220097121835 108.982728592056,46.172036369606 108.918798219218,46.1064921774831 110.302849464333,47.4564655200605 110.366779837171,47.5220097121835 108.982728592056))
147|POLYGON((0.965185119753353 -18.9821916182064,0.324919823326855 -20.3646223917678,-1.24111166666903 -19.6393234217713,-0.600846370242533 -18.2568926482099,0.965185119753353 -18.9821916182064))
155|POLYGON((62.8227787523501 -173.884164934663,61.5438837531338 -174.743692561224,60.7733279289649 -173.597179104654,62.0522229281812 -172.737651478093,62.8227787523501 -173.884164934663))
216|POLYGON((-20.8879577359534 -97.7175761456111,-22.0815935908253 -97.1646900949464,-21.535843071459 -95.9864592697206,-20.3422072165871 -96.5393453203853,-20.8879577359534 -97.7175761456111))
