id|wkt
1|MULTIPOLYGON(((12.9044659916015 46.9270009671889,12.9044836507975 46.9272042179984,12.9044938786427 46.9272403208656,12.90449750227 46.9273490213703,12.904568306278 46.9273575419674,12.9045916358531 46.9275208092739,12.9046290511423 46.9276688245862,12.9048361066738 46.9277039934723,12.904892260861 46.9276710314127,12.9049452847675 46.9276045399154,12.9050469982091 46.9275963874715,12.9050601132037 46.9276701488457,12.9051116843885 46.927619209273,12.9052958150486 46.9276712694003,12.9052964920393 46.927709333465,12.905356056301 46.9276866778297,12.905373752522 46.9276163807688,12.9056560577344 46.9276350436844,12.9058268070937 46.9276884648419,12.9057223919224 46.9278991614541,12.9056523114219 46.9280982729153,12.9056255908714 46.9282271666593,12.9055811870833 46.9284263665406,12.9055024812823 46.9286313028616,12.9053219317291 46.9287303059248,12.9052436648874 46.9288824615359,12.9051308713044 46.9290696770314,12.9048979189329 46.9292974754551,12.9047581442503 46.9294814387042,12.9047278775034 46.9295321622256,12.9047697053349 46.9295524588129,12.9047338206475 46.9295767788653,12.9047505730281 46.9295826012951,12.9048347198717 46.9295642144858,12.9049039112146 46.9295759860017,12.9049417233437 46.9295634245971,12.9049941486064 46.9293245833116,12.9050626466116 46.9292305537411,12.9051166704389 46.9291640209691,12.9052071438599 46.9290665836016,12.9052771663718 46.9289885851147,12.9053672682635 46.9288801776619,12.9054032128797 46.9288629660508,12.905506849593 46.9288154452909,12.9056752823082 46.9287026380228,12.9056885975555 46.9286185933553,12.9057280217683 46.928450417597,12.9058871140999 46.927986626029,12.9059446924424 46.9278017828067,12.9059824481159 46.9276627451211,12.9059983511252 46.9275688214452,12.9060145060841 46.9274388347851,12.9060249277468 46.9272202681788,12.9060867420797 46.9270165451778,12.906168069551 46.9267856592114,12.9061363993044 46.9267698466512,12.9061434234078 46.9267018934799,12.9061444874815 46.9266628462446,12.9061554635425 46.9266373425686,12.9061052553291 46.92661898527,12.9060346751981 46.9265535901938,12.9058077917996 46.9264338121486,12.9053283211951 46.9262660869748,12.9053477216479 46.9262529336223,12.9057668166775 46.9263424170661,12.9058010375452 46.9262928780199,12.9058270197945 46.9262258965978,12.9058259401128 46.9261417433124,12.9059916897527 46.9260672748558,12.9061731141375 46.9259286109492,12.9062547429005 46.9258488202899,12.9063820295933 46.9257326887553,12.9065940067759 46.9255591737708,12.9068555020508 46.9255658505852,12.9073881269411 46.9252212268981,12.9070028503226 46.9251782710151,12.9065939784809 46.9251232211421,12.906586801198 46.9251467776851,12.9063335710231 46.9251203539879,12.9062791381636 46.9251113746505,12.9061066042242 46.925263569408,12.9059024331671 46.9254202148736,12.9057653132671 46.9255309277601,12.9056848312719 46.9255858159881,12.9056553153581 46.9256496436665,12.9056354402986 46.9256939103137,12.9055640897485 46.9257548347771,12.9053868744273 46.9259023497244,12.9055196645732 46.9259569049047,12.9053896136533 46.9261270489071,12.9053007100689 46.9262145585837,12.9053295231337 46.9263334144931,12.905341514681 46.9263707297121,12.9053376835385 46.9264091815623,12.9053235021531 46.9264541896229,12.9053494707827 46.9264717443612,12.9053546075594 46.9264861876483,12.9053439219754 46.9265065904918,12.9053227289273 46.9265221394977,12.9052753748754 46.9265195571485,12.9052438563414 46.9265110152888,12.9052066818399 46.9265505461813,12.9050326319835 46.9264948800272,12.9049824867357 46.9264980006689,12.9049073644303 46.9264568371987,12.9048577657294 46.926410335953,12.9048558931794 46.9263123767221,12.9048844871184 46.9262198511536,12.9048870689385 46.9262140572677,12.9046542133846 46.9261364277668,12.9047195773336 46.9260575571031,12.9048538619646 46.9260232636059,12.904946307124 46.9259736672728,12.905046985038 46.9259486576704,12.9051118470261 46.9259284337681,12.9053518246519 46.9258562998621,12.9054103020428 46.9258329832248,12.9054541102629 46.9257981114237,12.9054990205962 46.9257617501245,12.9055252091796 46.9257325970992,12.9055612346167 46.9256742739426,12.9053943268404 46.9257945551284,12.9053096199799 46.9258244756239,12.9051825836943 46.9258525795901,12.9050635996338 46.9258805340605,12.9049128438686 46.9259198850347,12.9047846934878 46.9259606174977,12.9046642032957 46.9260139131584,12.9045657237351 46.9260884917129,12.9045107079246 46.9261885739407,12.9045007285561 46.9262773461169,12.9045094159906 46.9265033996749,12.9044998472224 46.92661765572,12.9044778360916 46.9267534865782,12.9045345976399 46.9267621517091,12.9044659916015 46.9270009671889),(12.9053812234018 46.9273131949153,12.9053702877866 46.9275787110263,12.9051627073122 46.9275824394264,12.9051581615394 46.9273311533107,12.9053812234018 46.9273131949153)))
2|MULTIPOLYGON(((12.9046677511542 46.9259197267058,12.9045627814552 46.9259702649326,12.9045810947669 46.9260053547929,12.9046887399527 46.9259471964322,12.9048095794189 46.9259091266722,12.9049679505329 46.9258619675382,12.9051984105472 46.9258087295422,12.9053439572625 46.9257670549193,12.90544095706 46.9256982197908,12.9057018184992 46.9255202221373,12.9058932666133 46.9253697283783,12.9060934985841 46.9252113043877,12.9061681044662 46.9251439403804,12.9062076372372 46.9251032933706,12.9059564696139 46.9250687244712,12.9058391601875 46.9250571309413,12.9056291325569 46.9250853433981,12.905348996499 46.9252352569268,12.9050442477978 46.925459543575,12.9048627812995 46.9255902692943,12.9047292450412 46.9256960366734,12.9046035032212 46.9258479842421,12.9046677511542 46.9259197267058)))
3|MULTIPOLYGON(((12.9057743828467 46.9166422542049,12.9058110179186 46.9168245215227,12.9058708828978 46.9169272357781,12.9059354775059 46.9169809559018,12.9061766351424 46.9171787195418,12.9062622125672 46.9173238306192,12.9063262371002 46.9173832080904,12.9063783806346 46.9174356750332,12.9064647165254 46.9174820449079,12.9066374431854 46.9175712934468,12.9069599426845 46.9177938739789,12.907108409259 46.917721039202,12.9071679858056 46.9176855965667,12.907100334212 46.9176117190925,12.9070531097061 46.9175402673483,12.907016147983 46.9173816459248,12.9069442040252 46.9173678946618,12.9069176486975 46.9172297650175,12.9071262116432 46.9171984944356,12.9071069970447 46.9171369024979,12.9071420972978 46.9170865295891,12.907156712256 46.9169741730201,12.9071585175437 46.916839758913,12.9071686007486 46.916797632488,12.9072254699017 46.9167900463521,12.9072332227896 46.9167193155028,12.907245266497 46.9165903029212,12.9072206766425 46.916540675991,12.9071150692912 46.9163551698794,12.9070437500873 46.916252664888,12.9069587095696 46.9160816242341,12.9068806619648 46.916079178289,12.9067221307883 46.9161190689962,12.906604449097 46.9161495313698,12.9063895386284 46.9161835123099,12.9065409181522 46.9164115730494,12.9066303164099 46.9165550876848,12.9064883229577 46.9166006824488,12.9064035477717 46.9164603705083,12.9063048924791 46.9163152279579,12.9062336910846 46.9162211000245,12.9060734557387 46.9162101177397,12.9057933161446 46.9163225375507,12.905622056772 46.9163529395302,12.9057743828467 46.9166422542049),(12.9059318460038 46.9166259354915,12.9059646874366 46.9165838055298,12.906051618429 46.9165595437749,12.9061992692283 46.9165289166653,12.9062394540787 46.9165400735595,12.906264007603 46.9165648121329,12.9062421235806 46.9166274271511,12.9061223408358 46.9166593387384,12.9060634148633 46.9167037092944,12.9059877016544 46.9166885304402,12.9059510711081 46.9166616584574,12.9059318460038 46.9166259354915),(12.9069202629438 46.9170960738128,12.9069937782505 46.9171722410819,12.9069381712566 46.9171942466569,12.9068705658036 46.9171163921062,12.9069202629438 46.9170960738128),(12.9068627753118 46.9173610988842,12.9069028898128 46.9173501292222,12.9069134479291 46.917372925098,12.9068757018728 46.9173800525907,12.9068627753118 46.9173610988842)))
4|MULTIPOLYGON(((12.9051786421276 46.9170810730607,12.9053158581536 46.9172301962497,12.9054157762053 46.917313276335,12.9054800005362 46.9173527065057,12.9055516217493 46.9173933254677,12.9055817176009 46.9174472207208,12.9055466096142 46.9174739824017,12.9055181387981 46.9174903136137,12.905361901965 46.9174959378128,12.9053258964846 46.9175346003557,12.9053229954466 46.9175766549316,12.9052635863769 46.9178330338556,12.9052476722471 46.9179041924674,12.9054253645541 46.9178746522805,12.9056111177601 46.9178567228316,12.9060391443828 46.9178126912839,12.9062406201284 46.9177828891053,12.9062771492386 46.917775271318,12.9063135562035 46.9177779017645,12.9064169274581 46.917846723238,12.9065003771874 46.9179367583796,12.9065906140249 46.9180840643678,12.9066829114455 46.9182315760418,12.9069608097379 46.9181799089303,12.9070797455521 46.9181507916159,12.9071070855551 46.9181069218918,12.9070470120119 46.91799215021,12.9069477229986 46.9178647768634,12.9067745926333 46.9177391034192,12.9065767268362 46.9176128861102,12.9062863061309 46.917436486785,12.9060866050567 46.9171768484831,12.905960751322 46.9170595772276,12.905863519417 46.916986927487,12.9057774110705 46.9168865790805,12.9057528627421 46.9168076005465,12.9057216625691 46.9166937835411,12.9056795097044 46.9165865834612,12.9056222200687 46.9165000122731,12.9055908924897 46.9165367850832,12.9055565259219 46.9165953484716,12.9054574165374 46.9167160040369,12.9052077225106 46.9169228999549,12.9051770920363 46.9169594683482,12.9051786421276 46.9170810730607)))
5|MULTIPOLYGON(((12.9039116480056 46.9291083266958,12.9040532894458 46.9293353907644,12.9041667259731 46.9293300641345,12.9042637500616 46.9292786501827,12.9042855453123 46.9292311428034,12.904331085963 46.9292616394145,12.9044087878648 46.9292604955277,12.9044612512026 46.9292650142471,12.9045203792192 46.9292235245907,12.9045354513683 46.9291789879103,12.9045641650464 46.9291399919089,12.9046032069419 46.9291101861518,12.9046557152914 46.9291075155596,12.9046892584047 46.9291160112907,12.9047463229739 46.9289919841113,12.9048157902655 46.9288691108231,12.9049447010382 46.9288050943935,12.9050483743695 46.928688217691,12.9049975285949 46.928623517841,12.9048614989283 46.9285838324286,12.9048466493471 46.9286090603122,12.9047417253016 46.9286014718872,12.9046902136494 46.9286481464762,12.9046146141086 46.9286395807227,12.9045187459697 46.9286182776177,12.9044010355301 46.9285969002884,12.9042986068848 46.9286055353289,12.9042190955262 46.9286209790495,12.9040730546673 46.9287111315479,12.9039681211255 46.9288405907531,12.9038681599854 46.9290386155002,12.9039116480056 46.9291083266958)))
6|MULTIPOLYGON(((12.9046049010079 46.9294180498039,12.9047581442503 46.9294814387042,12.9048979189329 46.9292974754551,12.9051308713044 46.9290696770314,12.9052436648874 46.9288824615359,12.9053219317291 46.9287303059248,12.9055024812823 46.9286313028616,12.9055811870833 46.9284263665406,12.9056255908714 46.9282271666593,12.9056523114219 46.9280982729153,12.9057223919224 46.9278991614541,12.9058268070937 46.9276884648419,12.9056560577344 46.9276350436844,12.905373752522 46.9276163807688,12.905356056301 46.9276866778297,12.9052964920393 46.927709333465,12.9052997900664 46.9278925450468,12.9052414465742 46.9279752938614,12.9050846405921 46.9281090290009,12.9050038548786 46.9281100356502,12.9049887611486 46.9281751597073,12.9049708206676 46.9283160630026,12.9048998812836 46.9285186349724,12.9048614989283 46.9285838324286,12.9049975285949 46.928623517841,12.9050483743695 46.928688217691,12.9049447010382 46.9288050943935,12.9048157902655 46.9288691108231,12.9047463229739 46.9289919841113,12.9046892584047 46.9291160112907,12.9047018288476 46.9291191994054,12.9046782124031 46.9291824014266,12.9046180582198 46.9293504889702,12.9046049010079 46.9294180498039)))
7|MULTIPOLYGON(((12.9050038548786 46.9281100356502,12.9050846405921 46.9281090290009,12.9052414465742 46.9279752938614,12.9052997900664 46.9278925450468,12.9052958150486 46.9276712694003,12.9051116843885 46.927619209273,12.9050601132037 46.9276701488457,12.9050594408113 46.9278229141481,12.9050190988044 46.9280442013211,12.9050038548786 46.9281100356502)))
8|MULTIPOLYGON(((15.7693249959125 47.4661171762701,15.7695937087464 47.4666462064825,15.7695123879556 47.4666692503744,15.7694262301808 47.4667151806866,15.7694754232315 47.466927732137,15.7695032760177 47.4669619597274,15.7695885307999 47.4669941757871,15.7696416149508 47.4669584719358,15.7698097819782 47.46694231479,15.7697165408724 47.4668926878991,15.7697660065472 47.4667984946777,15.7699549667063 47.4666295928833,15.7699955353065 47.4665968373168,15.7698437470258 47.4666209555221,15.7698392783032 47.4665980776819,15.770013616926 47.4665692764905,15.7700558472793 47.4665156012476,15.7701331889173 47.4664653478261,15.7702600960082 47.4664041030828,15.7703517723021 47.4664282064576,15.7704436779563 47.4663507007241,15.7704979606698 47.4662895406786,15.7705510406705 47.4662733075187,15.7706575463989 47.4662081119562,15.7706985725965 47.4662122720935,15.7707174381577 47.4661901946291,15.7707596593753 47.4660705715486,15.7707324868018 47.4659416390545,15.7707177047645 47.4658099406962,15.7705365555634 47.4658343598153,15.770292835537 47.4659074851188,15.7700968642002 47.4659645082136,15.7697911872628 47.4660243838077,15.7695193628606 47.4660799927264,15.7694293465899 47.4660863427832,15.7693953963201 47.4660712656548,15.7693249959125 47.4661171762701)))
9|MULTIPOLYGON(((15.7661164650069 47.4688466551389,15.766023858379 47.4688205606565,15.7658132971266 47.4692744982286,15.7660379974257 47.4693474813998,15.7665357434966 47.4695255206418,15.7671933396821 47.4697192046992,15.767909886775 47.4699551757511,15.7686032468763 47.4703124487752,15.7687626221518 47.4703784870545,15.7690757427911 47.4697939990934,15.7682456981105 47.4695379222051,15.7674232844033 47.4693120947983,15.766914596494 47.4691619272585,15.7661164650069 47.4688466551389)))
10|MULTIPOLYGON(((15.7660810273935 47.4661176565381,15.7661287321427 47.4663022809425,15.7661411974229 47.4663756607306,15.7661843948931 47.4664784007924,15.7662948481066 47.4666399275272,15.766333311046 47.4667177248046,15.7664585372846 47.4666961912365,15.7666851104832 47.4666586533824,15.7667015079037 47.4666098034418,15.76694749167 47.466532055976,15.7671850839026 47.4664718326407,15.7674125389039 47.4664128771713,15.7675603078492 47.466397156229,15.7676717956092 47.466399830864,15.7676956942335 47.4663352032995,15.7676630662899 47.4663030390632,15.7676296559713 47.4662714675442,15.7675762953318 47.4662767500191,15.7674586178067 47.4661494588341,15.7672736545906 47.4658850658679,15.7673068719189 47.465871911315,15.7671855115339 47.4657004538744,15.7671016012006 47.4656210648032,15.7670085442137 47.465645220171,15.7669553259417 47.4656645062477,15.7668223356788 47.4657306113538,15.7663581273192 47.465928005252,15.7662934553437 47.4659344092855,15.7662052779265 47.4659604768799,15.7660856926933 47.4660288622528,15.7660810273935 47.4661176565381)))
