id|wkt
2004153|MULTIPOLYGON(((14.7938479266374 47.2882489696968,14.7939859761578 47.2882564585445,14.7940032319156 47.2882092981067,14.7940409321849 47.2881461999342,14.7940249487827 47.2880361450822,14.7939861432607 47.2878874598062,14.7940101152788 47.2878032806579,14.794015261596 47.2876321120397,14.7938464160025 47.2876454537081,14.7938799801786 47.2877628435233,14.7939104515852 47.2880002149322,14.7938951649367 47.2881221430561,14.7938479266374 47.2882489696968)))
2004154|MULTIPOLYGON(((15.613956331251 47.3921376033784,15.6139910914921 47.3921567323751,15.61403482304 47.3921644399396,15.6140924979794 47.3921659738995,15.6141574895774 47.3921641216163,15.6142084874728 47.3921660495227,15.6142500363733 47.3921747816264,15.6143725301052 47.3922017678445,15.6144752243995 47.3922217941004,15.614534147255 47.3922316563107,15.6146015411033 47.3922369300698,15.6146597973854 47.3922313590412,15.614701657389 47.3922224329851,15.6147510111198 47.3922111522982,15.6148033423356 47.3921939253459,15.6148242147877 47.3922508846911,15.614844364155 47.3923159597226,15.6148626967669 47.3923641392519,15.6148907324578 47.3924113963793,15.6149325931338 47.3924525001714,15.6149690429055 47.392468687764,15.6150393267493 47.3924908353907,15.6150947191977 47.3924941425974,15.6151273394008 47.3924971653289,15.6151799700019 47.3924865572964,15.6152636583608 47.3924679673066,15.6153879753906 47.3924368028977,15.6154907145404 47.3924075355279,15.6155638245361 47.392388021908,15.6155959293125 47.3923604049009,15.6156567192336 47.3923462855284,15.6157078419118 47.3923452668163,15.6157553522366 47.3923621879092,15.6157834151157 47.3923944119002,15.6158188507539 47.392418720725,15.6158467745567 47.3924477249604,15.6159106507416 47.3924712779552,15.6159400799031 47.3925280575944,15.6159798179298 47.3925712466483,15.6160641460577 47.3925536604821,15.6161352749573 47.3925330878058,15.6162090322331 47.3925055495962,15.6163237756118 47.3924513242733,15.6164541932792 47.3923831402124,15.6164292618248 47.3923559037627,15.6165457207532 47.3922662503664,15.6165903676878 47.3922417675865,15.6166229847275 47.3922349063775,15.6166439969285 47.3922355676678,15.6166681016529 47.3922166971986,15.6167219172453 47.3921688168807,15.6167325697514 47.3921401869796,15.6167318958887 47.3920905664971,15.6167302219554 47.3920181203075,15.6166921522519 47.3920168989468,15.6166385450544 47.3920278962185,15.6166052876108 47.3920364984768,15.616598093454 47.3920111318242,15.6165460912267 47.3919500945765,15.6164319386381 47.3918468462739,15.6163309421613 47.3917520220132,15.6162505779563 47.3917447484471,15.6161900094565 47.3917185823212,15.616145658018 47.3916526756605,15.6160130597479 47.391618538558,15.61588500202 47.3916087947165,15.6158026384868 47.3916030999307,15.615702857609 47.3915967980156,15.6154449687954 47.3917062183361,15.615389189838 47.3917301483465,15.6153023931048 47.3917924303223,15.6153007947028 47.3918232380619,15.615188878863 47.3918594481835,15.6150756477184 47.3918753411627,15.6149289237135 47.3918919372302,15.6145838488387 47.391941171461,15.6144929027903 47.3919672596822,15.6144251531342 47.3919789066356,15.6142982627668 47.3919992745379,15.6141409027344 47.3920191418823,15.6139811970037 47.3920583637755,15.6139188418726 47.392077986289,15.613956331251 47.3921376033784)))
2004155|MULTIPOLYGON(((14.6768988198042 47.9397053306978,14.6769042298679 47.9398914863578,14.6769374038169 47.9400095126931,14.6768927458528 47.9401597088332,14.6769598726412 47.9402925927332,14.6770743987817 47.9404622947826,14.6773305442613 47.9407662839069,14.6773958138615 47.9409247968137,14.6775297965871 47.940908297326,14.6773523529959 47.9405023235861,14.6773273511506 47.9403120312708,14.677368563936 47.9401643403137,14.6774696164171 47.9399258062867,14.6774691604716 47.9397047896832,14.6768988198042 47.9397053306978)))
2004156|MULTIPOLYGON(((10.6846802705669 47.1059197918685,10.6846947656205 47.1064179261628,10.6850290130392 47.106504096429,10.6854158442159 47.1065679209548,10.6866948707032 47.1066261742066,10.6864476142734 47.106225056066,10.6859280650405 47.1057298415697,10.6858139977107 47.1055487438655,10.6857380678205 47.1053963449634,10.6857154096167 47.1053383956596,10.685277563241 47.1052414854045,10.6849331008502 47.1051640896733,10.6846623791014 47.1053049799264,10.6846802705669 47.1059197918685),(10.6851278760329 47.1061307212172,10.6851389054703 47.1058378030797,10.6851293721962 47.105520466663,10.6852230998479 47.1055325631496,10.6852777503302 47.1056007292549,10.6854470563534 47.1057706634284,10.6853991691001 47.1061393836657,10.6851278760329 47.1061307212172)))
2004157|MULTIPOLYGON(((13.8112270744025 47.9155517912386,13.811216701514 47.9155619641443,13.8110584904243 47.9157166645961,13.8108710361775 47.9158565864062,13.8107778872751 47.915953404434,13.810903514897 47.9159977640092,13.8109359290831 47.9161038457808,13.8108755446641 47.9162304612773,13.8110365168799 47.9162482342773,13.8110305401258 47.9161693398809,13.8110559717754 47.9159754557179,13.8110744333397 47.9159113954136,13.8111733138244 47.9157208620625,13.8112209865895 47.9155799039265,13.8112270744025 47.9155517912386)))
2004158|MULTIPOLYGON(((13.8256393253316 48.1625360306851,13.8251350425166 48.1627004237572,13.8236901830273 48.1631901917343,13.8230653701499 48.1633967418147,13.8231078649573 48.1634301095489,13.8233206128362 48.1635586420971,13.8233923584068 48.1635866783842,13.8234624403082 48.1635978901921,13.8253588002445 48.1629656087167,13.8257646996508 48.1628329443657,13.8256393253316 48.1625360306851)))
2004159|MULTIPOLYGON(((14.7527944366635 48.2505099077825,14.7526012165857 48.2506154376513,14.7523382022088 48.2507985069109,14.7520956356026 48.2509588702625,14.7518932235887 48.2510643488291,14.7518708765309 48.2511878610923,14.7518640759498 48.2513499070586,14.7519421663345 48.2514959220243,14.7520636703228 48.251587426836,14.7521126609839 48.2516104385872,14.7521372309901 48.2516330727805,14.7523629035134 48.2516349592626,14.7528347091214 48.2516119857226,14.7533004239399 48.2515569023382,14.7537042677124 48.2514955713459,14.7538634039251 48.2514762500644,14.7537584124952 48.251362044486,14.7536729646428 48.251303912658,14.753592703908 48.2512265630407,14.7535181947769 48.251114163113,14.7533738630843 48.2509519158695,14.7531299153413 48.250668433179,14.7530105412459 48.2505606909859,14.752924319153 48.2505121138212,14.7527944366635 48.2505099077825),(14.7529132740643 48.2508047485252,14.7529542992722 48.2508453920049,14.7530674515396 48.2509778527024,14.753260883725 48.2512140240433,14.7533406678509 48.251326719746,14.7533553147473 48.2513682782145,14.7533576158508 48.2514209633662,14.7533008548456 48.2514488706073,14.7532009017791 48.2514757024699,14.7530105499894 48.2515132079964,14.752766996436 48.2515432187978,14.7525059089459 48.2515690160511,14.7523766785924 48.2515671074721,14.7522801350941 48.2515525470171,14.7522194250157 48.2515236410279,14.752146402552 48.2514883350833,14.7520211434786 48.2513875732035,14.7519805438376 48.2513180799858,14.7519662926856 48.2512954281435,14.7519639621398 48.2512425993859,14.751989678131 48.251186280365,14.7520406040437 48.2511281700213,14.7521381924902 48.251063067883,14.7521664237769 48.2510401868843,14.7523257488688 48.2509404505789,14.7525050959715 48.2508078023249,14.7526217247674 48.2507083964589,14.7526534688633 48.2506834392497,14.7526766623132 48.2506660176351,14.7527729016006 48.2507025520291,14.7528472338639 48.2507414494143,14.75289149509 48.2507748019588,14.7529132740643 48.2508047485252)))
2004160|MULTIPOLYGON(((11.9178390463198 47.5008153283004,11.9177262317302 47.5009525787385,11.9172779223387 47.5009701317461,11.9172552809273 47.5011036652279,11.9173836091098 47.501154603282,11.917590942877 47.5011984377155,11.9180801002262 47.5010261306591,11.9180875292338 47.5009228701664,11.9181417148743 47.5008230676153,11.9178390463198 47.5008153283004)))
2004161|MULTIPOLYGON(((16.0198460312098 47.2775709881903,16.0197920785517 47.2773418506208,16.0197755834373 47.2773053979746,16.019129403868 47.2771149332598,16.0190586292471 47.2771125906338,16.0190924143385 47.2775235960662,16.0191032919682 47.2776912562932,16.0198757241218 47.2777141768243,16.0198460312098 47.2775709881903)))
2004162|MULTIPOLYGON(((15.0504518451435 48.4690978667623,15.0501879216605 48.4691897817146,15.0494404990226 48.4693310182501,15.0494539781992 48.4693425614027,15.0495854073981 48.4695005969985,15.0497544076482 48.4697210139745,15.0498659484653 48.4698740958236,15.0499383448616 48.4700356149579,15.0500320147763 48.4700369939445,15.0500154443531 48.4699820326931,15.0500842119566 48.4699154732683,15.0501708336226 48.4699115754533,15.0502347740684 48.4699368630538,15.0503511702018 48.4699980879227,15.0504187849289 48.4700154493198,15.0506885868569 48.4700235010358,15.0506093561996 48.4697686328985,15.0505637089007 48.4696838601569,15.0505125294733 48.469593824475,15.0504612940568 48.46940424003,15.0507748180623 48.4692695635158,15.0511271089759 48.469156296261,15.051029857799 48.4691305354322,15.0505977980704 48.469095806054,15.0504518451435 48.4690978667623),(15.050579007254 48.4691398782135,15.0505851303553 48.4692053480338,15.0505030534311 48.4692275239595,15.0505014880726 48.4691803497246,15.0505162117589 48.4691486628736,15.050579007254 48.4691398782135),(15.0501900529847 48.4692128362288,15.0502458405637 48.4692203667914,15.0502679552958 48.4692414007341,15.0502282921556 48.4692562245767,15.0501716329961 48.4692428138897,15.0501900529847 48.4692128362288)))
2004163|MULTIPOLYGON(((14.9676867373323 48.0736064708493,14.9673589055233 48.0741840436873,14.9684044782749 48.0744460349152,14.9702856712086 48.0749201665359,14.9707450714591 48.0748756102773,14.9712081339603 48.074800191208,14.9713403490796 48.0748285418586,14.971494603633 48.07478313937,14.9717347465591 48.0746898430645,14.9718199853584 48.0746661453226,14.9676867373323 48.0736064708493)))
2004164|MULTIPOLYGON(((13.5418604093808 48.1960468271416,13.5419044020973 48.1960795745448,13.5419688071449 48.1961126096329,13.5421627992301 48.1962141151531,13.5423242732925 48.1961669163258,13.5431937843354 48.1958930262313,13.5436849847437 48.1957422370401,13.5435907797584 48.195662811332,13.543492060772 48.1955985063597,13.5434442296298 48.1956121661722,13.5425921319658 48.1958581496103,13.5425771319565 48.1958383767368,13.5418604093808 48.1960468271416)))
