id|wkt
1996644|MULTIPOLYGON(((16.2481111839407 47.7812816566879,16.2481137002639 47.781287751277,16.2482139087713 47.7812807713663,16.2485428166839 47.7812548667988,16.248834579377 47.7812314127285,16.2490477853857 47.7812033984106,16.2490789178859 47.7811990011482,16.2490381141422 47.7810730426484,16.2486029761842 47.7811030651422,16.2480848465304 47.7811388475128,16.2481111839407 47.7812816566879)))
1996665|MULTIPOLYGON(((15.9653084971802 46.7163808141409,15.9667089977353 46.7161712121083,15.96660833693 46.7159199796093,15.9653284055952 46.7161169424404,15.9653084971802 46.7163808141409)))
1996668|MULTIPOLYGON(((15.9653287802388 46.7161120541212,15.9666065015933 46.715915403844,15.9664850151885 46.715606461259,15.9660076498478 46.715680662334,15.9655374829443 46.7157540725588,15.9653579399157 46.7157842891947,15.9653287802388 46.7161120541212)))
1996687|MULTIPOLYGON(((16.3473907937555 47.8466417648725,16.3475196050548 47.8467552498397,16.3514252998976 47.8448167297977,16.3513028921115 47.8446995523122,16.3473907937555 47.8466417648725)))
1996688|MULTIPOLYGON(((16.3456596255069 47.8392872477261,16.3457992003151 47.8394187395297,16.3490021279151 47.8373737037909,16.3487576950101 47.8372006570725,16.3455830719824 47.8392151192474,16.3456596255069 47.8392872477261)))
1996702|MULTIPOLYGON(((15.822393729858 48.5686839604181,15.8221702320379 48.5686582829185,15.8217327000787 48.5690098979581,15.8210484504906 48.569577509625,15.8211506701359 48.5696286301547,15.8212227558781 48.5696616369562,15.8214063829299 48.5695197508778,15.8219979835727 48.5690315392777,15.822393729858 48.5686839604181)))
1996723|MULTIPOLYGON(((14.5091333852849 47.2081155264742,14.5097555003595 47.2076061114171,14.509138177414 47.2072815521654,14.5078921851677 47.2066419891564,14.5072775581014 47.2071666510075,14.508565207913 47.2078278393954,14.5091333852849 47.2081155264742)))
1996728|MULTIPOLYGON(((14.2997235928198 46.5626825442727,14.3001731847001 46.5627496587954,14.3004216053661 46.5627381653052,14.300732595827 46.5626774993441,14.300959292941 46.562568072479,14.2999353059366 46.5622483166758,14.2997235928198 46.5626825442727)))
1996729|MULTIPOLYGON(((14.3161253998898 46.5683417583597,14.3161390806716 46.5685376423939,14.3165881576994 46.5685156934009,14.3165560948057 46.5682386778719,14.3161974841709 46.5682867360184,14.3161636270587 46.5682974596792,14.3161409039023 46.5683177147629,14.3161253998898 46.5683417583597)))
1996732|MULTIPOLYGON(((11.5391807060853 47.2857543437561,11.5389908836447 47.2859533178529,11.5389944957063 47.2860264283721,11.539113821961 47.2864511033656,11.5393633107906 47.2867280922831,11.5396649577 47.2869941471812,11.5398849336142 47.2871238612172,11.5401040325979 47.2872066166117,11.5408423029771 47.2863938024785,11.5391807060853 47.2857543437561)))
1996740|MULTIPOLYGON(((13.2649693000578 47.8696155688486,13.2652370337462 47.869618909416,13.2652198544376 47.8695581265166,13.2649693000578 47.8696155688486)))
1996771|MULTIPOLYGON(((13.7044032420694 46.6927347633393,13.7041371113156 46.6925304342456,13.7039133458731 46.6927683652572,13.7041796346443 46.692938610403,13.7044032420694 46.6927347633393)))
1996780|MULTIPOLYGON(((9.6008440053886 47.4698969231308,9.60085648633566 47.4697157679391,9.59978070883257 47.4693575947433,9.59970601478791 47.4694894826944,9.6008440053886 47.4698969231308)))
1996789|MULTIPOLYGON(((14.1261173146 48.455356526258,14.1262460085997 48.4552898475262,14.1257197457251 48.4548392775064,14.1255914120302 48.4549056114255,14.1261173146 48.455356526258)))
1996834|MULTIPOLYGON(((16.1524288551774 48.4669172869007,16.1507748369936 48.4643740697861,16.150017507304 48.464809538635,16.1516689405506 48.4673489754773,16.1524288551774 48.4669172869007)))
1996836|MULTIPOLYGON(((16.1466228567898 47.2220434377161,16.1495676654449 47.2225640279164,16.1496311223741 47.2223175810639,16.1467202264531 47.2218029815296,16.1466228567898 47.2220434377161)))
1996837|MULTIPOLYGON(((16.1534631806871 47.219967489271,16.1535085287907 47.219988697654,16.155675463648 47.2196721014963,16.1555224825128 47.2190805357224,16.1533649546299 47.2195860458676,16.1534631806871 47.219967489271)))
1996839|MULTIPOLYGON(((16.2050774799398 48.510849948655,16.2047901817446 48.5109944920383,16.2085422372041 48.5125933114009,16.208713617635 48.5123633747674,16.2050774799398 48.510849948655)))
1996849|MULTIPOLYGON(((16.1559474332453 48.5105792251749,16.1560003398192 48.5110035848582,16.1609647811707 48.5106447011024,16.1607402693494 48.5099707145899,16.1559168265803 48.5103192860767,16.1559474332453 48.5105792251749)))
1996852|MULTIPOLYGON(((16.205955466975 48.5193553842078,16.2066400339605 48.519502379406,16.2074328415103 48.5183416701144,16.2074152038658 48.5182506487604,16.2069922591668 48.5179041366871,16.2068155665315 48.5180828878901,16.2066684236353 48.5182458553497,16.2065402406782 48.5184016426891,16.2064246354944 48.5185616753381,16.2063217450305 48.5187254909455,16.205955466975 48.5193553842078)))
