id|wkt
1|LINESTRING(7.20634040185715 -6.98842838303278,-98.0145994213838 -56.7180594233183,-155.334446258765 -67.5760164801173,-79.5319721149146 -63.5470374533391,48.1098322241998 -61.9061004853154,173.250653687735 46.8444791613611)
2|LINESTRING(94.0025479222987 66.9752478210608,-149.377119928827 -61.7789801495172,-0.650619159392818 64.6753943993891,-90.6475568309131 -21.1349219951105,-40.0025405141247 10.2230895686113,-105.161459174764 -71.5953508131894,43.0415773257982 33.0642600065269,142.560683880726 17.1555638625981,-165.26158356648 -20.0239427184062)
3|LINESTRING(116.603589395217 68.8530216288365,172.468991303728 -47.2954504983555,-94.5277435631151 -37.3809945539588,120.055738875671 37.2477351373156,-173.44319806994 -55.3677030693063,4.90907164560028 -67.2599561018346,141.205199828704 -49.2265937288434,-107.962036848279 33.5138023312764,-87.0687663484647 -44.1297146999392,-7.17881829994511 -75.3585755730045,169.418735333401 -14.3150036321165,-70.6492957387015 -47.53735279487,-62.3585046463107 7.73873705577898,-119.210916304186 46.2050779089812,144.918792338199 47.687299775819)
4|LINESTRING(136.777432289848 81.242899096107,13.729522498362 -8.75581067694306,50.8762015108667 -40.7832320174602,-89.9558267533331 -39.7960763647348,59.2339392335666 -40.1012927147757,138.875355675793 2.16488377146923,138.138684318168 -8.29777515429747,159.038954051237 -68.9398706936294,139.459540931798 12.1049580930123,-10.7673310204302 -81.3407771655401,-6.40262685325496 -0.613911711750674,-90.6285032352122 71.3006292287798)
5|LINESTRING(-121.137394746217 -80.7859391314446,32.0283116675459 80.4502248941237,-107.256308640198 -47.3454654481654,-162.267038989272 -45.2964819712373,74.2553674205818 -84.2482854973576,64.284985512292 79.0894950076826,-74.4648118037576 -54.6171133727185,6.01409774780208 -70.8621902489502,169.09498738763 -67.2924464111077,-31.9030579846977 -31.315496380435,28.3428812944324 65.0244462932974,83.2437182140949 -48.8876973090102,-20.1422192440428 -56.8440466673707,-102.430620983751 8.03477252768985,121.301728223325 38.5877639876318,120.018802262605 22.4996068100113)
6|LINESTRING(-108.049472648681 60.4903759459946,-117.075632491495 72.4749490764751,25.5771506913112 -83.97893918972,-0.748857537871856 -32.4800250702292,24.8367750275531 -56.0513907361739,-133.696141599391 -71.1376901025678,-107.138738692341 82.0285005876007,103.859555463399 15.9673664208822,-179.844120489331 -67.9272243051137,156.102803474199 48.136428153961,-140.599093422463 67.6479714347129,-107.506438300602 35.7125061110793,-147.717742355113 -60.1698070789488,-120.241208203456 82.9340334675064,64.8743687369273 88.8251937989605,-20.615793219371 -79.5902876566048,-15.3644331072837 -89.6665068276386,-103.864964826192 -77.5089361818114,133.478904184449 -41.3303985027944)
7|LINESTRING(67.4407414554288 4.93822885861675,100.356024677082 -57.6497665384487,-168.930704514872 -46.803014504093,146.673797500643 80.1192517149768,70.154862126533 -4.54400227050542)
8|LINESTRING(172.479043830571 -38.0615429546955,49.1709471979658 -47.7059631961328,-76.8549616682961 -85.4018985648093,37.9072849106694 -71.5631711618247,-82.4707623763695 19.0526849076011,-147.922095659956 26.4608728302539,109.61469264752 59.3548224929862,-17.5236067073638 37.2625625768958)
9|LINESTRING(138.997621050226 -3.48521841285873,-99.984139884556 -46.4829782693177,46.3120223373188 -61.2738850837644,-56.83830205441 -73.6856669799214,-157.553564683465 -17.2079394800099,123.999668642868 -55.1179316391502,70.1089386847617 -30.4441986741756)
10|LINESTRING(105.479909335776 77.7326407277261,-111.409797180342 82.6091584820011,-104.235203933972 37.9927592134647,-61.5417638375368 -83.097697440351,115.224752654899 6.68831833783067,-10.5812500514645 15.2855624067512,167.078833073652 58.3112533844827,-100.856905321666 -25.8882246298342,-85.9658345206603 -31.5853596391613,109.316224426448 61.0502724590577,-116.379260975212 29.2859739163254)
