id|wkt
1|LINESTRING(-157.534298925736 -82.1956249150075,20.6277808733496 -88.7794737698673,-98.0490596110884 -42.9001792537657,148.440096979395 62.7977976708684,-139.695687647173 78.6451869254144,-82.3435903180966 14.1913541993719,178.554597016848 59.2395563146196,-2.30990696252078 1.41454752192203,-17.411044478899 44.9747171131874,-113.449133755279 26.876355386137,-38.8177178882519 45.258025659533,-3.51020672502827 89.80248290151,139.218095087673 31.7271131567772,103.845530791225 75.2959738358535,-24.0138843208162 48.3336781990208)
2|LINESTRING(81.7729612759217 10.4638991813763,151.155569323122 60.9790624353483,72.1026587270882 61.8848550745184,-37.0988463441748 40.0431804235752,63.0870413727951 11.4155612229271,149.473323278385 -70.4219832320566,-81.7847759805232 88.868394846753,-122.210754165502 66.3753512070855,167.584619207623 23.6269782983938,-113.910488836285 87.288112011602,17.7586898702071 -75.462763531885,-175.541658991235 72.6092994635287,147.110194339781 -15.6130929347152)
3|LINESTRING(174.105645695115 44.7802354803579,35.7191194431469 59.3981009628162,59.3506959540402 -15.898328494842,163.313380476887 -57.4184899040124,-17.8131914896282 -53.0488846319699,121.722952885717 33.436460690841,88.2073552811665 -26.3512007120067,18.3359365447352 -58.1467785374524,110.121049787703 38.0552522726268,-177.040013732865 -9.27420439196752,99.8393827660744 9.57665892208752,12.6350890328608 13.1628210120932,73.1998115285803 57.8310962357708,39.4800871021549 -62.1866525013264,-121.628267428838 -44.6629042440958)
4|LINESTRING(101.129274017888 -21.4989684676529,-52.9633886942548 57.8201664705761,1.04261698232534 -24.2170106041112,40.7336194114055 45.1175175609606,66.3602167874743 -36.2730918521182,152.647357615795 -86.8934399354743,98.8087224249418 13.215078997526,36.3637337673788 -16.0876942916165,-178.357452388632 69.8767466416505,83.5387963655825 89.99540059487)
5|LINESTRING(13.0773986850024 43.3182080828578,91.7462400111986 -5.8041163177829,128.024718465959 80.0667760181253,-118.023061273403 60.4642670568761,141.91756620953 33.8961082200814,-20.8285558439123 -87.0581838999088,-169.434079737915 -88.4155291484731,61.0745762297573 82.4111932988255,-129.601035875062 -46.6751779109802,91.5064474915134 42.2580082720056)
6|LINESTRING(144.061852020907 -13.8738806596275,-96.8619686668902 26.449972766796,-35.9461339511938 -43.4818055423469,-135.912706274393 15.8633266086915,124.293124571754 -49.7556558274562)
7|LINESTRING(131.003100410351 -21.9497976707453,-10.8654524776053 61.226891539314,-39.232560231889 -32.4979617365645,-131.632226356452 40.6341642592916,131.267497433395 84.0479985666167,-53.2131782444215 -75.6410625820978,145.242113880979 -54.5753269613775)
8|LINESTRING(-47.5250801601638 76.8736356675345,14.6953341346784 -22.936490295825)
9|LINESTRING(-118.703214942881 48.1259072925687,-38.862063995265 -28.4561064877904,76.8876592883738 -80.3105187445027,-54.1261723796067 66.6183640261649,174.952895399033 83.7784599549829,-161.747721060667 70.7788560698536,153.062402344724 53.7070986429967)
10|LINESTRING(102.136151726587 -0.983244819453475,21.1852378616283 49.8734598972731,36.1874902822339 -88.0503797806983,-51.3325488101361 -71.1476167206425,90.9111528428801 -41.538626493872,-94.2662287656077 48.6300779654993,72.567204893929 22.8365209873687,-129.887047565483 -73.2261307676149,-118.175259636174 -6.3259814616989,5.07794837447648 18.9553578089072,47.9004103659551 -78.7855392432942)
11|LINESTRING(-93.886015520621 28.7855433001506,-96.1172654826628 -75.0610521327761,-33.7530306083569 -48.6397552458671,98.1305115695592 76.2462698459512)
12|LINESTRING(43.2047638619056 -72.6878050350634,126.494111367561 -40.3259061903515,-31.3394840369872 -0.494316479378583,-104.241343497523 -74.5185407816317,-87.780200472159 -20.2440867451914,-134.830771184837 39.6659973273131,40.3540141399239 -58.2798533584218,-58.9103582373878 24.109148581696,-63.7182766336772 -57.4990175699539,23.4341233402921 22.2962412401289,40.2080717517808 -85.5028993296144,77.6979805037661 -46.2995767762258,-100.595156569347 -25.8324217964925,-43.9518250394127 -32.7931203875881,176.704322528118 32.5324531803756,134.945667403395 -43.9842858785321,149.906049360076 15.6877988419777,139.385065233647 -14.41298977685,120.047379185268 -37.895451153368)
13|LINESTRING(-110.68246816087 13.6277522067748,-162.978789744796 -81.986476376027,-29.824456427914 76.6971796154432,96.5835217018094 -61.694896230498,-82.5845379422636 37.9918250322721)
14|LINESTRING(64.4321907724526 -15.3968408067767,-96.4367913189383 -45.4048846019025,81.1094374883839 35.7595060643731,-134.906990514991 -63.5704048429809,-81.1093329819465 -75.8703305220286,-167.968408731839 67.6447823521392,31.1352140341751 13.4772764438483,148.962338746616 -46.2369514384974,126.587699963926 12.2029474417371,95.2021732175146 44.6106712490536,-44.4769918480131 77.5788912171273,-65.4802629325761 -12.4010977873868,-148.557626298028 -61.1802438592191)
15|LINESTRING(78.0075563900756 27.8580755609221,122.352692892853 -40.2498050339663,-18.8883363224083 -60.7534761237739,-49.4224926445067 15.0626466680954,-96.5073291852728 -26.4720645159588,10.9486234160015 -71.0531592931942)
16|LINESTRING(157.951694803923 4.11371399347779,-104.878433562448 -61.2947785940866,152.636369487623 -64.9417094645512,131.223474525192 63.8094654012369,174.651037830627 -28.202014395609,-62.261996449445 43.3244961131635,51.7183480697497 -77.6493381250172,38.0944209295629 56.341005377793,56.4599260404447 -44.6308615192812,-163.214619605916 -6.44066862957281,168.170953010519 75.2855058729724,139.47622383468 -11.2755044930449,144.343951606537 -40.5420944890665)
17|LINESTRING(52.010027256339 14.5693367624602,39.7015471321531 26.743420201724,36.8566118140366 38.5499358179024,149.851362495331 -84.3512552680836,153.862203636416 55.0531440799568,49.7380325885528 50.4873362528731,-157.066894900776 -52.3030188363529)
18|LINESTRING(115.448130475608 49.8722296656087,-70.2384821885232 -29.7644530928793,1.98885714087083 15.8487119037509,-157.41400522634 -66.1524533695388,-133.489128159069 -47.5065520519046,46.5316060487771 31.8055610834963,173.265830358509 -85.4920618749482,73.9220843588265 66.089497013009,-108.242276561546 71.6394084607766,178.396609948599 -13.7805966647628,-41.8505989936281 53.3849626729282,-178.968771795035 82.3439666623369)
19|LINESTRING(-150.413804611978 59.2793735715736,-65.6443629702331 -73.5496834336907,147.446724977154 -32.3690461890462,156.53144132962 -62.0583191687832,57.2224689644362 -84.1131463578193,62.0533717958067 -1.42855081440857,-131.728221766864 55.6233475060671,134.766559190675 -31.2169049808888,121.5397042629 24.8131993139248,147.966778319381 -24.3867389309302,-24.7390851943025 -4.40781640777772,-91.7824005949969 22.7752974348185,0.089983567069254 -1.11991853020811,11.8692636352982 44.7932549836152,-156.923402696039 -74.6597052352743)
20|LINESTRING(160.856228857893 -28.6301599753971,144.04505442847 6.45816395868017,76.7059028126747 -75.8343106235881,-91.4102019899877 74.4484637734598,-87.9143052625457 -62.4489500041846,53.8973409079256 7.56854232237934,-18.9136273526103 -89.0054269793918,-153.847531580271 7.9241640067152,23.7471191762538 -72.606608485903)
